ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,Text,TemplatesJSON,MapID,NPCID,PosX,PosY,Timeout,Seconds,X,Y,Count,Radius,Desc
Q2_LauLan,Huyền Phật Châu,109,Độc Chướng Trạch Địa,9,finish,hoàn thành,30,skip,,,1,Notify,Hoàn thành Huyền Phật Châu!,,,,,,,,,,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,1,enter,Vào Dung Nham Chi Địa,6,retry,,,1,GoToNPC,,,5,386,4000,8500,,,,,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,1,enter,Vào Dung Nham Chi Địa,6,retry,,,2,SelectDialog,Dung Nham Chi Địa,,,,,,6,,,,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,1,enter,Vào Dung Nham Chi Địa,6,retry,,,3,WaitMapChange,,,110,,,,3,,,,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,1,enter,Vào Dung Nham Chi Địa,6,retry,,,4,Wait,,,,,,,,2,,,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,2,zone,Yêu Ma Tùy Tùng,120,retry,,,1,GoTo,,,,,,,,,5984,2560,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,2,zone,Yêu Ma Tùy Tùng,120,retry,,,2,Kill,,"[{""MonsterID"":""13240"",""MinLevel"":""75"",""MaxLevel"":""79""},{""MonsterID"":""13241"",""MinLevel"":""80"",""MaxLevel"":""84""},{""MonsterID"":""13242"",""MinLevel"":""85"",""MaxLevel"":""89""},{""MonsterID"":""13243"",""MinLevel"":""90"",""MaxLevel"":""94""},{""MonsterID"":""13244"",""MinLevel"":""95"",""MaxLevel"":""99""},{""MonsterID"":""13245"",""MinLevel"":""100"",""MaxLevel"":""104""},{""MonsterID"":""13246"",""MinLevel"":""105"",""MaxLevel"":""109""},{""MonsterID"":""13247"",""MinLevel"":""110"",""MaxLevel"":""114""},{""MonsterID"":""13248"",""MinLevel"":""115"",""MaxLevel"":""119""},{""MonsterID"":""13249"",""MinLevel"":""120"",""MaxLevel"":""999""}]",,,,,,,,,190,1600,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,3,boss_1,Hỏa Diệm Yêu Ma,120,retry,,,1,GoTo,,,,,,,,,2144,6656,,,
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,3,boss_1,Hỏa Diệm Yêu Ma,120,retry,,,2,Kill,,"[{""MonsterID"":""13260"",""MinLevel"":""75"",""MaxLevel"":""79""},{""MonsterID"":""13261"",""MinLevel"":""80"",""MaxLevel"":""84""},{""MonsterID"":""13262"",""MinLevel"":""85"",""MaxLevel"":""89""},{""MonsterID"":""13263"",""MinLevel"":""90"",""MaxLevel"":""94""},{""MonsterID"":""13264"",""MinLevel"":""95"",""MaxLevel"":""99""},{""MonsterID"":""13265"",""MinLevel"":""100"",""MaxLevel"":""104""},{""MonsterID"":""13266"",""MinLevel"":""105"",""MaxLevel"":""109""},{""MonsterID"":""13267"",""MinLevel"":""110"",""MaxLevel"":""114""},{""MonsterID"":""13268"",""MinLevel"":""115"",""MaxLevel"":""119""},{""MonsterID"":""13269"",""MinLevel"":""120"",""MaxLevel"":""999""}]",,,,,,,,,1,800,Chủ nhân Dung Nham Chi Địa
Q3_LauLan,Dung Nham Chi Địa,110,Dung Nham Chi Địa,4,finish,hoàn thành,30,skip,,,1,Notify,Hoàn thành Dung Nham Chi Địa!,,,,,,,,,,,,
SatTinh,Thập Nhị Sát Tinh,111,Lôi Đài Sinh Tử,1,enter,Thập Nhị Sát Tinh,6,retry,,,1,GoToNPC,,,2,41,4170,7840,,,,,,,
SatTinh,Thập Nhị Sát Tinh,111,Lôi Đài Sinh Tử,1,enter,Thập Nhị Sát Tinh,6,retry,,,2,SelectDialog,Khiêu chiến Thập Nhị Sát Tinh,,,,,,6,,,,,,
SatTinh,Thập Nhị Sát Tinh,111,Lôi Đài Sinh Tử,1,enter,Thập Nhị Sát Tinh,6,retry,,,3,WaitMapChange,,,111,,,,3,,,,,,
SatTinh,Thập Nhị Sát Tinh,111,Lôi Đài Sinh Tử,1,enter,Thập Nhị Sát Tinh,6,retry,,,4,Wait,,,,,,,,2,,,,,
SatTinh,Thập Nhị Sát Tinh,111,Lôi Đài Sinh Tử,2,boss_1,,120,retry,,,1,Wait,,,,,,,,25,,,,,
SatTinh,Thập Nhị Sát Tinh,111,Lôi Đài Sinh Tử,2,boss_1,,120,retry,,,2,GoTo,,,,,,,,,2037,2550,,,
