ScenarioID,ScenarioName,DungeonMapID,DungeonMapName,StepIndex,StepID,StepDesc,StepTimeout,OnTimeout,RetryCount,NextStep,ActionIndex,ActionType,Text,TemplatesJSON,MapID,NPCID,PosX,PosY,Timeout,Seconds,X,Y,Count,Radius,Desc
DanhCo2,Trân Long Kỳ Cuộc (nhanh),77,Trân Long Kỳ Cuộc,4,finish,hoàn thành,30,skip,,,1,Notify,Hoàn thành Trân Long Kỳ Cuộc!,,,,,,,,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,1,GoToNPC,,,4,717,8600,8600,,,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,2,InteractNPC,,,,717,,,,,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,3,SelectDialog,Trân Long Kỳ Cuộc (siêu tốc),,,,,,3,,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,4,WaitMapChange,,,77,,,,6,,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,1,enter,Trân Long Kỳ Cuộc,6,retry,,,5,Wait,,,,,,,,2,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,1,Wait,,,,,,,,25,,,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,2,GoTo,,,,,,,,,1704,2503,,,
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,2,zone1,Tiêu diệt quân cờ,120,retry,,,3,Kill,,"[{""MonsterID"":""1770"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1771"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1772"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1773"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1774"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1775"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1776"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1777"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1778"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1779"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1780"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1781"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1782"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1783"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1784"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1785"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1786"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1787"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1788"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1789"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1790"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1791"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1792"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1793"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1794"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1795"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1796"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1797"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1798"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1799"",""MinLevel"":""100"",""MaxLevel"":""999""},{""MonsterID"":""1800"",""MinLevel"":""10"",""MaxLevel"":""19""},{""MonsterID"":""1801"",""MinLevel"":""20"",""MaxLevel"":""29""},{""MonsterID"":""1802"",""MinLevel"":""30"",""MaxLevel"":""39""},{""MonsterID"":""1803"",""MinLevel"":""40"",""MaxLevel"":""49""},{""MonsterID"":""1804"",""MinLevel"":""50"",""MaxLevel"":""59""},{""MonsterID"":""1805"",""MinLevel"":""60"",""MaxLevel"":""69""},{""MonsterID"":""1806"",""MinLevel"":""70"",""MaxLevel"":""79""},{""MonsterID"":""1807"",""MinLevel"":""80"",""MaxLevel"":""89""},{""MonsterID"":""1808"",""MinLevel"":""90"",""MaxLevel"":""99""},{""MonsterID"":""1809"",""MinLevel"":""100"",""MaxLevel"":""999""}]",,,,,,,,,200,800,Tiêu diệt quân cờ
DanhCo3,Trân Long Kỳ Cuộc (siêu tốc),77,Trân Long Kỳ Cuộc,3,boss,Viễn Cổ Kỳ Hồn,180,retry,,,1,GoTo,,,,,,,,,2016,2080,,,
