ID,Name,Icon,ItemLevel,RequireLevel,BoundMoney,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ScriptID,TypeDesc,Description,IDFamily10M
20101001,Bạch Anh,Herbal1_1,1,1,true,375,10,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Vị đắng, cay, tính hàn. Có tác dụng thanh nhiệt, giải độc. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101002,Bồ Hoàng,Herbal1_2,1,1,true,625,10,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Vị ngọt dịu, có tác dụng cầm máu, hoạt huyết. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101003,Xuyên Bối,Herbal2_2,2,2,true,625,20,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Vị ngọt, có tác dụng cầm ho, làm dịu gan, lưu thông khí huyết. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101004,Nguyên Hồ,Herbal1_6,2,2,true,875,20,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Thân dùng làm thuốc, có tác dụng lưu thông khí huyết, giảm đau. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101005,Tỳ Bà,Herbal1_8,3,3,true,875,30,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Lá dùng làm thuốc, tính bình, vị đắng, có tác dụng thanh phế hạ khí, trị ho, nôn mửa. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101006,Cam Thảo,Herbal2_4,3,3,true,875,30,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Tính bình, vị ngọt, có tác dụng giải độc, giảm sưng, giảm đau. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101007,Kim Ngân Hoa,Herbal1_10,3,3,true,1125,30,true,true,false,15000,-1,-1,,-1,Sơ cấp dược tài,"Vị ngọt, hàn, có tác dụng thanh nhiệt giải độc. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101008,Hoàng Cầm,Herbal1_16,4,4,true,1125,40,true,true,false,15000,-1,-1,,-1,Trung cấp dược tài,"Vị đắng, hàn, có tác dụng thanh nhiệt, giải độc, cầm máu, an thai. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101009,Cẩu Kỷ,Herbal1_9,4,4,true,1125,40,true,true,false,15000,-1,-1,,-1,Trung cấp dược tài,"Vị ngọt, bổ gan thận, sáng mắt, bổ trợ sắc diện, làm xương cốt cứng chắc. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
20101010,Trầm Hương,Herbal1_3,4,4,true,1375,40,true,true,false,15000,-1,-1,,-1,Trung cấp dược tài,"Vị cay, đắng, ôn, giảm đau, làm ấm người, ổn định hơi thở. Có thể thông qua kỹ năng <color=#00FF00>Gia công nguyên liệu thô</color>, kết hợp nguyên liệu rơi ra từ quái vật để chế tạo thành <color=#FFFF00>[Dược Liệu Thô]</color>.",2
