ID,Name,Icon,ItemLevel,RequireLevel,BoundMoney,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ScriptID,TypeDesc,Description,IDFamily10M
30071172,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 2)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071173,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 3)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071174,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 4)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071175,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 5)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071176,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 6)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071177,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 7)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071178,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 8)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071179,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 9)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071180,<color=#1A9FFF>Chân Nguyên Ngoại Thủ (Cấp 10)</color>,ZhenYuan4_5,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
30071181,<color=#D829FF>Chân Nguyên Ngoại Thủ (Cấp 1)</color>,ZhenYuan4_6,1,1,false,4,1,true,true,false,1,-1,-1,,-1,Chân Nguyên,"Viên chân nguyên quý hiếm, gắn lên trang bị sẽ gia tăng <color=#FFFF00>thuộc tính</color> vốn có của <color=#00FF00>trang bị</color> cũng như thuộc tính tăng cường của <color=#00FF00>bảo thạch</color> đã được khảm nạm trên trang bị đó.",3
