ID,Name,Icon,ItemLevel,RequireLevel,BoundMoney,BasePrice,SellPrice,Throwable,Sellable,Bound,Stack,MaxUsageTimes,DurationHour,ExtraHint,ScriptID,TypeDesc,Description,IDFamily10M
20801307,Thanh Long Bảo Châu - Độc Công (Cấp 7),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801308,Thanh Long Bảo Châu - Độc Công (Cấp 8),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801309,Thanh Long Bảo Châu - Độc Công (Cấp 9),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801310,Thanh Long Bảo Châu - Độc Công (Cấp 10),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801311,Thanh Long Bảo Châu - Độc Công (Cấp 11),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801312,Thanh Long Bảo Châu - Độc Công (Cấp 12),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801313,Thanh Long Bảo Châu - Độc Công (Cấp 13),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801314,Thanh Long Bảo Châu - Độc Công (Cấp 14),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801315,Thanh Long Bảo Châu - Độc Công (Cấp 15),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
20801316,Thanh Long Bảo Châu - Độc Công (Cấp 16),RuneStone_5,1,1,true,4,1,true,true,false,15000,-1,-1,,-1,Đạo cụ đặc thù,"Viên bảo châu màu xanh lục, làm từ phỉ thúy, sử dụng bí pháp Kim Lăng và Nhật Nguyệt Tinh Hoa luyện thành, tỏa ra hào quang rực rỡ, nhìn rõ hình ảnh thanh long bên trong, huyền ảo vô cùng. Có thể sử dụng để khảm nạm vào Lệnh bài.<br><color=#00FF00>Có thể đến Phụng Minh Trấn tìm Khổng Tước Như để tìm hiểu chi tiết về tính năng Lệnh bài.",2
