EdgeType,FromMapID,FromX,FromY,ToMapID,ToX,ToY,FromMapName,ToMapName
NPC,3,8770,7080,81,2550,8980,Lạc Dương,Huyền Vũ Đảo
NPC,81,2600,9300,3,8870,8960,Huyền Vũ Đảo,Lạc Dương
NPC,4,5674,8700,81,2550,8980,Tô Châu,Huyền Vũ Đảo
NPC,81,2600,9300,4,5774,8700,Huyền Vũ Đảo,Tô Châu
NPC,22,2260,6888,55,7000,7200,Đôn Hoàng,Hỏa Diệm Sơn
NPC,55,7100,7200,22,2360,6888,Hỏa Diệm Sơn,Đôn Hoàng
NPC,1,4882,6588,3,10460,7570,Phụng Minh Trấn,Lạc Dương
NPC,1,4882,6588,3,7570,6090,Phụng Minh Trấn,Lạc Dương
NPC,1,4882,6588,3,6930,5380,Phụng Minh Trấn,Lạc Dương
NPC,1,4882,6588,2,8260,6340,Phụng Minh Trấn,Đại Lý
NPC,1,4882,6588,4,10600,8780,Phụng Minh Trấn,Tô Châu
NPC,1,4882,6588,4,6160,8100,Phụng Minh Trấn,Tô Châu
NPC,1,4882,6588,5,9260,5910,Phụng Minh Trấn,Lâu Lan
NPC,1,4882,6588,6,2970,2140,Phụng Minh Trấn,Thiếu Lâm Tự
NPC,1,4882,6588,7,2840,2300,Phụng Minh Trấn,Cái Bang Tổng Đà
NPC,1,4882,6588,8,3120,820,Phụng Minh Trấn,Quang Minh Điện
NPC,1,4882,6588,9,2860,1660,Phụng Minh Trấn,Nga My Sơn
NPC,1,4882,6588,10,3000,2110,Phụng Minh Trấn,Thiên Long Tự
NPC,1,4882,6588,11,2050,1510,Phụng Minh Trấn,Lăng Ba Động 
NPC,1,4882,6588,12,3000,1340,Phụng Minh Trấn,Tinh Túc Hải
NPC,1,4882,6588,13,3050,2310,Phụng Minh Trấn,Thiên Sơn
NPC,1,4882,6588,14,3255,2725,Phụng Minh Trấn,Núi Võ Đang
NPC,1,4882,6588,15,920,1650,Phụng Minh Trấn,Mộ Dung
NPC,1,4882,6588,16,3100,1100,Phụng Minh Trấn,Quỷ Cốc
NPC,1,4882,6588,17,4000,3800,Phụng Minh Trấn,Đường Môn
NPC,1,4882,6588,18,8400,5000,Phụng Minh Trấn,Đào Hoa
NPC,1,4882,6588,137,4317,2128,Phụng Minh Trấn,Mạn Đà Sơn Trang
NPC,1,4882,6588,143,8180,8060,Phụng Minh Trấn,Tuyệt Tình Cốc
NPC,2,8060,6340,3,10460,7570,Đại Lý,Lạc Dương
NPC,2,8060,6340,3,7570,6090,Đại Lý,Lạc Dương
NPC,2,8060,6340,3,6930,5380,Đại Lý,Lạc Dương
NPC,2,8060,6340,1,5082,6388,Đại Lý,Phụng Minh Trấn
NPC,2,8060,6340,4,10600,8780,Đại Lý,Tô Châu
NPC,2,8060,6340,4,6160,8100,Đại Lý,Tô Châu
NPC,2,8060,6340,5,9260,5910,Đại Lý,Lâu Lan
NPC,2,8060,6340,6,2970,2140,Đại Lý,Thiếu Lâm Tự
NPC,2,8060,6340,7,2840,2300,Đại Lý,Cái Bang Tổng Đà
NPC,2,8060,6340,8,3120,820,Đại Lý,Quang Minh Điện
NPC,2,8060,6340,9,2860,1660,Đại Lý,Nga My Sơn
NPC,2,8060,6340,10,3000,2110,Đại Lý,Thiên Long Tự
NPC,2,8060,6340,11,2050,1510,Đại Lý,Lăng Ba Động 
NPC,2,8060,6340,12,3000,1340,Đại Lý,Tinh Túc Hải
NPC,2,8060,6340,13,3050,2310,Đại Lý,Thiên Sơn
NPC,2,8060,6340,14,3255,2725,Đại Lý,Núi Võ Đang
NPC,2,8060,6340,15,920,1650,Đại Lý,Mộ Dung
NPC,2,8060,6340,16,3100,1100,Đại Lý,Quỷ Cốc
NPC,2,8060,6340,17,4000,3800,Đại Lý,Đường Môn
NPC,2,8060,6340,18,8400,5000,Đại Lý,Đào Hoa
NPC,2,8060,6340,137,4317,2128,Đại Lý,Mạn Đà Sơn Trang
NPC,2,8060,6340,143,8180,8060,Đại Lý,Tuyệt Tình Cốc
NPC,3,10460,7770,1,4882,6388,Lạc Dương,Phụng Minh Trấn
NPC,3,10460,7770,2,8260,6340,Lạc Dương,Đại Lý
NPC,3,10460,7770,4,10600,8780,Lạc Dương,Tô Châu
NPC,3,10460,7770,4,6160,8100,Lạc Dương,Tô Châu
NPC,3,10460,7770,5,9260,5910,Lạc Dương,Lâu Lan
NPC,3,10460,7770,6,2970,2140,Lạc Dương,Thiếu Lâm Tự
NPC,3,10460,7770,7,2840,2300,Lạc Dương,Cái Bang Tổng Đà
NPC,3,10460,7770,8,3120,820,Lạc Dương,Quang Minh Điện
NPC,3,10460,7770,9,2860,1660,Lạc Dương,Nga My Sơn
NPC,3,10460,7770,10,3000,2110,Lạc Dương,Thiên Long Tự
NPC,3,10460,7770,11,2050,1510,Lạc Dương,Lăng Ba Động 
NPC,3,10460,7770,12,3000,1340,Lạc Dương,Tinh Túc Hải
NPC,3,10460,7770,13,3050,2310,Lạc Dương,Thiên Sơn
NPC,3,10460,7770,14,3255,2725,Lạc Dương,Núi Võ Đang
NPC,3,10460,7770,15,920,1650,Lạc Dương,Mộ Dung
NPC,3,10460,7770,16,3100,1100,Lạc Dương,Quỷ Cốc
NPC,3,10460,7770,17,4000,3800,Lạc Dương,Đường Môn
NPC,3,10460,7770,18,8400,5000,Lạc Dương,Đào Hoa
NPC,3,10460,7770,137,4317,2128,Lạc Dương,Mạn Đà Sơn Trang
NPC,3,10460,7770,143,8180,8060,Lạc Dương,Tuyệt Tình Cốc
NPC,3,7450,6090,1,4882,6388,Lạc Dương,Phụng Minh Trấn
NPC,3,7450,6090,2,8260,6340,Lạc Dương,Đại Lý
NPC,3,7450,6090,4,10600,8780,Lạc Dương,Tô Châu
NPC,3,7450,6090,4,6160,8100,Lạc Dương,Tô Châu
NPC,3,7450,6090,5,9260,5910,Lạc Dương,Lâu Lan
NPC,3,7450,6090,6,2970,2140,Lạc Dương,Thiếu Lâm Tự
NPC,3,7450,6090,7,2840,2300,Lạc Dương,Cái Bang Tổng Đà
NPC,3,7450,6090,8,3120,820,Lạc Dương,Quang Minh Điện
NPC,3,7450,6090,9,2860,1660,Lạc Dương,Nga My Sơn
NPC,3,7450,6090,10,3000,2110,Lạc Dương,Thiên Long Tự
NPC,3,7450,6090,11,2050,1510,Lạc Dương,Lăng Ba Động 
NPC,3,7450,6090,12,3000,1340,Lạc Dương,Tinh Túc Hải
NPC,3,7450,6090,13,3050,2310,Lạc Dương,Thiên Sơn
NPC,3,7450,6090,14,3255,2725,Lạc Dương,Núi Võ Đang
NPC,3,7450,6090,15,920,1650,Lạc Dương,Mộ Dung
NPC,3,7450,6090,16,3100,1100,Lạc Dương,Quỷ Cốc
NPC,3,7450,6090,17,4000,3800,Lạc Dương,Đường Môn
NPC,3,7450,6090,18,8400,5000,Lạc Dương,Đào Hoa
NPC,3,7450,6090,137,4317,2128,Lạc Dương,Mạn Đà Sơn Trang
NPC,3,7450,6090,143,8180,8060,Lạc Dương,Tuyệt Tình Cốc
NPC,4,10750,9140,1,4882,6388,Tô Châu,Phụng Minh Trấn
NPC,4,10750,9140,2,8260,6340,Tô Châu,Đại Lý
NPC,4,10750,9140,3,10460,7570,Tô Châu,Lạc Dương
NPC,4,10750,9140,3,7570,6090,Tô Châu,Lạc Dương
NPC,4,10750,9140,3,6930,5380,Tô Châu,Lạc Dương
NPC,4,10750,9140,5,9260,5910,Tô Châu,Lâu Lan
NPC,4,10750,9140,6,2970,2140,Tô Châu,Thiếu Lâm Tự
NPC,4,10750,9140,7,2840,2300,Tô Châu,Cái Bang Tổng Đà
NPC,4,10750,9140,8,3120,820,Tô Châu,Quang Minh Điện
NPC,4,10750,9140,9,2860,1660,Tô Châu,Nga My Sơn
NPC,4,10750,9140,10,3000,2110,Tô Châu,Thiên Long Tự
NPC,4,10750,9140,11,2050,1510,Tô Châu,Lăng Ba Động 
NPC,4,10750,9140,12,3000,1340,Tô Châu,Tinh Túc Hải
NPC,4,10750,9140,13,3050,2310,Tô Châu,Thiên Sơn
NPC,4,10750,9140,14,3255,2725,Tô Châu,Núi Võ Đang
NPC,4,10750,9140,15,920,1650,Tô Châu,Mộ Dung
NPC,4,10750,9140,16,3100,1100,Tô Châu,Quỷ Cốc
NPC,4,10750,9140,17,4000,3800,Tô Châu,Đường Môn
NPC,4,10750,9140,18,8400,5000,Tô Châu,Đào Hoa
NPC,4,10750,9140,137,4317,2128,Tô Châu,Mạn Đà Sơn Trang
NPC,4,10750,9140,143,8180,8060,Tô Châu,Tuyệt Tình Cốc
NPC,4,6500,8200,1,4882,6388,Tô Châu,Phụng Minh Trấn
NPC,4,6500,8200,2,8260,6340,Tô Châu,Đại Lý
NPC,4,6500,8200,3,10460,7570,Tô Châu,Lạc Dương
NPC,4,6500,8200,3,7570,6090,Tô Châu,Lạc Dương
NPC,4,6500,8200,3,6930,5380,Tô Châu,Lạc Dương
NPC,4,6500,8200,5,9260,5910,Tô Châu,Lâu Lan
NPC,4,6500,8200,6,2970,2140,Tô Châu,Thiếu Lâm Tự
NPC,4,6500,8200,7,2840,2300,Tô Châu,Cái Bang Tổng Đà
NPC,4,6500,8200,8,3120,820,Tô Châu,Quang Minh Điện
NPC,4,6500,8200,9,2860,1660,Tô Châu,Nga My Sơn
NPC,4,6500,8200,10,3000,2110,Tô Châu,Thiên Long Tự
NPC,4,6500,8200,11,2050,1510,Tô Châu,Lăng Ba Động 
NPC,4,6500,8200,12,3000,1340,Tô Châu,Tinh Túc Hải
NPC,4,6500,8200,13,3050,2310,Tô Châu,Thiên Sơn
NPC,4,6500,8200,14,3255,2725,Tô Châu,Núi Võ Đang
NPC,4,6500,8200,15,920,1650,Tô Châu,Mộ Dung
NPC,4,6500,8200,16,3100,1100,Tô Châu,Quỷ Cốc
NPC,4,6500,8200,17,4000,3800,Tô Châu,Đường Môn
NPC,4,6500,8200,18,8400,5000,Tô Châu,Đào Hoa
NPC,4,6500,8200,137,4317,2128,Tô Châu,Mạn Đà Sơn Trang
NPC,4,6500,8200,143,8180,8060,Tô Châu,Tuyệt Tình Cốc
NPC,5,9060,5910,1,4882,6388,Lâu Lan,Phụng Minh Trấn
NPC,5,9060,5910,2,8260,6340,Lâu Lan,Đại Lý
NPC,5,9060,5910,3,7570,6090,Lâu Lan,Lạc Dương
NPC,5,9060,5910,3,6930,5380,Lâu Lan,Lạc Dương
NPC,5,9060,5910,3,10460,7570,Lâu Lan,Lạc Dương
NPC,5,9060,5910,4,10600,8780,Lâu Lan,Tô Châu
NPC,5,9060,5910,4,6160,8100,Lâu Lan,Tô Châu
NPC,5,9060,5910,6,2970,2140,Lâu Lan,Thiếu Lâm Tự
NPC,5,9060,5910,7,2840,2300,Lâu Lan,Cái Bang Tổng Đà
NPC,5,9060,5910,8,3120,820,Lâu Lan,Quang Minh Điện
NPC,5,9060,5910,9,2860,1660,Lâu Lan,Nga My Sơn
NPC,5,9060,5910,10,3000,2110,Lâu Lan,Thiên Long Tự
NPC,5,9060,5910,11,2050,1510,Lâu Lan,Lăng Ba Động 
NPC,5,9060,5910,12,3000,1340,Lâu Lan,Tinh Túc Hải
NPC,5,9060,5910,13,3050,2310,Lâu Lan,Thiên Sơn
NPC,5,9060,5910,14,3255,2725,Lâu Lan,Núi Võ Đang
NPC,5,9060,5910,15,920,1650,Lâu Lan,Mộ Dung
NPC,5,9060,5910,16,3100,1100,Lâu Lan,Quỷ Cốc
NPC,5,9060,5910,17,4000,3800,Lâu Lan,Đường Môn
NPC,5,9060,5910,18,8400,5000,Lâu Lan,Đào Hoa
NPC,5,9060,5910,137,4317,2128,Lâu Lan,Mạn Đà Sơn Trang
