EdgeType,FromMapID,FromX,FromY,ToMapID,ToX,ToY,FromMapName,ToMapName
NPC,6,2970,1940,15,920,1650,Thiếu Lâm Tự,Mộ Dung
NPC,6,2970,1940,16,3100,1100,Thiếu Lâm Tự,Quỷ Cốc
NPC,6,2970,1940,17,4000,3800,Thiếu Lâm Tự,Đường Môn
NPC,6,2970,1940,18,8400,5000,Thiếu Lâm Tự,Đào Hoa
NPC,6,2970,1940,137,4317,2128,Thiếu Lâm Tự,Mạn Đà Sơn Trang
NPC,6,2970,1940,143,8180,8060,Thiếu Lâm Tự,Tuyệt Tình Cốc
NPC,7,3040,2300,1,4882,6388,Cái Bang Tổng Đà,Phụng Minh Trấn
NPC,7,3040,2300,2,8260,6340,Cái Bang Tổng Đà,Đại Lý
NPC,7,3040,2300,3,10460,7570,Cái Bang Tổng Đà,Lạc Dương
NPC,7,3040,2300,3,7570,6090,Cái Bang Tổng Đà,Lạc Dương
NPC,7,3040,2300,3,6930,5380,Cái Bang Tổng Đà,Lạc Dương
NPC,7,3040,2300,4,10600,8780,Cái Bang Tổng Đà,Tô Châu
NPC,7,3040,2300,4,6160,8100,Cái Bang Tổng Đà,Tô Châu
NPC,7,3040,2300,5,9260,5910,Cái Bang Tổng Đà,Lâu Lan
NPC,7,3040,2300,6,2970,2140,Cái Bang Tổng Đà,Thiếu Lâm Tự
NPC,7,3040,2300,8,3120,820,Cái Bang Tổng Đà,Quang Minh Điện
NPC,7,3040,2300,9,2860,1660,Cái Bang Tổng Đà,Nga My Sơn
NPC,7,3040,2300,10,3000,2110,Cái Bang Tổng Đà,Thiên Long Tự
NPC,7,3040,2300,11,2050,1510,Cái Bang Tổng Đà,Lăng Ba Động 
NPC,7,3040,2300,12,3000,1340,Cái Bang Tổng Đà,Tinh Túc Hải
NPC,7,3040,2300,13,3050,2310,Cái Bang Tổng Đà,Thiên Sơn
NPC,7,3040,2300,14,3255,2725,Cái Bang Tổng Đà,Núi Võ Đang
NPC,7,3040,2300,15,920,1650,Cái Bang Tổng Đà,Mộ Dung
NPC,7,3040,2300,16,3100,1100,Cái Bang Tổng Đà,Quỷ Cốc
NPC,7,3040,2300,17,4000,3800,Cái Bang Tổng Đà,Đường Môn
NPC,7,3040,2300,18,8400,5000,Cái Bang Tổng Đà,Đào Hoa
NPC,7,3040,2300,137,4317,2128,Cái Bang Tổng Đà,Mạn Đà Sơn Trang
NPC,7,3040,2300,143,8180,8060,Cái Bang Tổng Đà,Tuyệt Tình Cốc
NPC,8,3290,620,1,4882,6388,Quang Minh Điện,Phụng Minh Trấn
NPC,8,3290,620,2,8260,6340,Quang Minh Điện,Đại Lý
NPC,8,3290,620,3,10460,7570,Quang Minh Điện,Lạc Dương
NPC,8,3290,620,3,7570,6090,Quang Minh Điện,Lạc Dương
