RowIndex,Tag,Name,ScaleP,UIHeaderOffset,PreviewCameraPosition,PreviewCameraRotation,Text,ChildrenJSON
1,Model,Default,39,"0,220","0,60,70","165,0,-180",,
2,Model,npc180804TianLongXiShouXingTaoShu,28,"0,500","0,60,70","165,0,-180",,
3,Model,Pocket,3900,"0,220","0,0,0","0,0,0",,
4,Model,WomanHead,39,"0,220","0,150,70","180,0,-180",,
5,Model,ManHead,39,"0,220","0,200,80","160,0,-180",,
6,Model,Soul,39,"0,220","0,5,40","170,0,-180",,
7,Model,ShouHunFuTi190329He01,39,"0,220","0,60,100","165,0,-180",,
8,Model,ShouHunFuTi190329He01BianSe01,39,"0,220","0,60,100","165,0,-180",,
9,Model,ShouHunFuTi190329He01BianSe02,39,"0,220","0,60,100","165,0,-180",,
10,Model,ShouHunFuTi190329He01BianSe03,39,"0,220","0,60,100","165,0,-180",,
11,Model,ShouHunFuTi190329He01BianSe04,39,"0,220","0,60,100","165,0,-180",,
12,Model,ShouHunFuTi190329He01BianSe05,39,"0,220","0,60,100","165,0,-180",,
13,Model,ShouHunFuTi190329He01BianSe06,39,"0,220","0,60,100","165,0,-180",,
14,Model,ShouHunFuTi190329He01BianSe07,39,"0,220","0,60,100","165,0,-180",,
15,Model,ShouHunFuTi190329He01BianSe08,39,"0,220","0,60,100","165,0,-180",,
16,Model,ShouHunFuTi190329He02,39,"0,220","0,60,100","165,0,-180",,
17,Model,ShouHunFuTi190329He02BianSe01,39,"0,220","0,60,100","165,0,-180",,
18,Model,ShouHunFuTi190329He02BianSe02,39,"0,220","0,60,100","165,0,-180",,
19,Model,ShouHunFuTi190329He02BianSe03,39,"0,220","0,60,100","165,0,-180",,
20,Model,ShouHunFuTi190329He02BianSe04,39,"0,220","0,60,100","165,0,-180",,
21,Model,ShouHunFuTi190329He02BianSe05,39,"0,220","0,60,100","165,0,-180",,
22,Model,ShouHunFuTi190329He02BianSe06,39,"0,220","0,60,100","165,0,-180",,
23,Model,ShouHunFuTi190329He02BianSe07,39,"0,220","0,60,100","165,0,-180",,
24,Model,ShouHunFuTi190329He02BianSe08,39,"0,220","0,60,100","165,0,-180",,
25,Model,ShouHunFuTi190329He03,39,"0,220","0,60,100","165,0,-180",,
26,Model,ShouHunFuTi190329He03BianSe01,39,"0,220","0,60,100","165,0,-180",,
27,Model,ShouHunFuTi190329He03BianSe02,39,"0,220","0,60,100","165,0,-180",,
28,Model,ShouHunFuTi190329He03BianSe03,39,"0,220","0,60,100","165,0,-180",,
29,Model,ShouHunFuTi190329He03BianSe04,39,"0,220","0,60,100","165,0,-180",,
30,Model,ShouHunFuTi190329He03BianSe05,39,"0,220","0,60,100","165,0,-180",,
31,Model,ShouHunFuTi190329He03BianSe06,39,"0,220","0,60,100","165,0,-180",,
32,Model,ShouHunFuTi190329He03BianSe07,39,"0,220","0,60,100","165,0,-180",,
33,Model,ShouHunFuTi190329He03BianSe08,39,"0,220","0,60,100","165,0,-180",,
34,Model,ShouHunFuTi190329He04,39,"0,220","0,60,100","165,0,-180",,
35,Model,ShouHunFuTi190329He04BianSe01,39,"0,220","0,60,100","165,0,-180",,
36,Model,ShouHunFuTi190329He04BianSe02,39,"0,220","0,60,100","165,0,-180",,
37,Model,ShouHunFuTi190329He04BianSe03,39,"0,220","0,60,100","165,0,-180",,
38,Model,ShouHunFuTi190329He04BianSe04,39,"0,220","0,60,100","165,0,-180",,
39,Model,ShouHunFuTi190329He04BianSe05,39,"0,220","0,60,100","165,0,-180",,
40,Model,ShouHunFuTi190329He04BianSe06,39,"0,220","0,60,100","165,0,-180",,
41,Model,ShouHunFuTi190329He04BianSe07,39,"0,220","0,60,100","165,0,-180",,
42,Model,ShouHunFuTi190329He04BianSe08,39,"0,220","0,60,100","165,0,-180",,
43,Model,ShouHunFuTi190329He05,39,"0,220","0,60,100","165,0,-180",,
44,Model,ShouHunFuTi190329He05BianSe01,39,"0,220","0,60,100","165,0,-180",,
45,Model,ShouHunFuTi190329He05BianSe02,39,"0,220","0,60,100","165,0,-180",,
46,Model,ShouHunFuTi190329He05BianSe03,39,"0,220","0,60,100","165,0,-180",,
47,Model,ShouHunFuTi190329He05BianSe04,39,"0,220","0,60,100","165,0,-180",,
48,Model,ShouHunFuTi190329He05BianSe05,39,"0,220","0,60,100","165,0,-180",,
49,Model,ShouHunFuTi190329He05BianSe06,39,"0,220","0,60,100","165,0,-180",,
50,Model,ShouHunFuTi190329He05BianSe07,39,"0,220","0,60,100","165,0,-180",,
51,Model,ShouHunFuTi190329He05BianSe08,39,"0,220","0,60,100","165,0,-180",,
52,Model,QinZiHeTi150604ChiBang01,39,"0,220","0,20,40","165,0,-180",,
53,Model,QinZiHeTi150604ChiBang01_1,39,"0,220","0,20,40","165,0,-180",,
54,Model,QinZiHeTi150604ChiBang01_2,39,"0,220","0,20,40","165,0,-180",,
55,Model,QinZiHeTi150604ChiBang01_3,39,"0,220","0,20,40","165,0,-180",,
56,Model,QinZiHeTi150604ChiBang01_4,39,"0,220","0,20,40","165,0,-180",,
57,Model,QinZiHeTi150604ChiBang01_5,39,"0,220","0,20,40","165,0,-180",,
58,Model,QinZiHeTi150604ChiBang01_6,39,"0,220","0,20,40","165,0,-180",,
59,Model,QinZiHeTi150604ChiBang01_7,39,"0,220","0,20,40","165,0,-180",,
60,Model,QinZiHeTi150604ChiBang02,39,"0,220","0,20,40","165,0,-180",,
61,Model,QinZiHeTi150604ChiBang02_1,39,"0,220","0,20,40","165,0,-180",,
