RowIndex,Tag,ID,CooldownGroup,Name,ShortDescription,Description,Icon,ActionID,PrecastActionID,FinishActionID,PrecastFx,CastFx,FlyFx,ExplodeFx,BuffFx,ChainingSourceFx,ChainingTargetFx,ChainingFx,Type,Style,FactionID,BookID,CanDirectlyStudy,RequireLevel,RequireWeapon,IsDamageSkill,CastRange,AttackRadius,AnimationDuration,TargetType,ProgressTime,MissileSpeed,MissileCount,FixedHitRate,FixedCritRate,ShowSkillNameWhenUse,Property,Tag,ProgressFluction,Text,ChildrenJSON
1501,,50079,-1,Tứ Tượng Quy Nhất - Hỏa (Cấp 9),Bị động,Tấn công có xác suất kích hoạt trạng thái quy nhất Hỏa của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_sixiangguiyi_huo_lv9,,20,,
1502,,5007011,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 1),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv1,,20,,
1503,,5007012,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 2),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv2,,20,,
1504,,5007013,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 3),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv3,,20,,
1505,,5007014,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 4),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv4,,20,,
1506,,5007015,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 5),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv5,,20,,
1507,,5007016,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 6),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv6,,20,,
1508,,5007017,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 7),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv7,,20,,
1509,,5007018,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 8),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv8,,20,,
1510,,5007019,-1,Tứ Tượng Quy Nhất - Hỏa - Quy Nhất (Cấp 9),,Kích hoạt trạng thái quy nhất của Lệnh bài.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_sixiangguiyi_huo_child_lv9,,20,,
1511,,50081,-1,Tứ Tượng Quy Nhất - Huyền (Cấp 1),Bị động,Tấn công có xác suất kích hoạt trạng thái quy nhất Huyền của Lệnh bài.,Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_sixiangguiyi_xuan_lv1,,20,,
