RepoPath,Bytes,Rows
database/PC_INPUT_KEY_BINDINGS.csv,1723,22
database/fuben/FUBEN_ACTIONS.csv,126626,268
database/fuben/FUBEN_ACTIONS_COMPACT.csv,25519,268
database/fuben/FUBEN_BOSS_LEVEL_BANDS.csv,154147,1381
database/fuben/FUBEN_ENTRY_NPCS.csv,2355,19
database/fuben/FUBEN_KILL_TARGETS.csv,35613,72
database/fuben/FUBEN_SCENARIOS.csv,2799,19
database/fuben/actions/FUBEN_ACTIONS_0001_0055.csv,22053,55
database/fuben/actions/FUBEN_ACTIONS_0056_0110.csv,19599,55
database/fuben/actions/FUBEN_ACTIONS_0111_0165.csv,26910,55
database/fuben/actions/FUBEN_ACTIONS_0166_0220.csv,27436,55
database/fuben/actions/FUBEN_ACTIONS_0221_0268.csv,31532,48
database/static/equips/EQUIPS_00001_02500.csv,693014,2500
database/static/equips/EQUIPS_02501_05000.csv,734010,2500
database/static/equips/EQUIPS_05001_07500.csv,1525706,2500
database/static/equips/EQUIPS_07501_10000.csv,1083578,2500
database/static/equips/EQUIPS_10001_12500.csv,1166369,2500
database/static/equips/EQUIPS_12501_15000.csv,1241993,2500
database/static/equips/EQUIPS_15001_17500.csv,1253976,2500
database/static/equips/EQUIPS_17501_20000.csv,873254,2500
database/static/equips/EQUIPS_20001_22500.csv,912476,2500
database/static/equips/EQUIPS_22501_22763.csv,105883,263
database/static/equips/EQUIP_INDEX_00001_04000.csv,265970,4000
database/static/equips/EQUIP_INDEX_04001_08000.csv,285115,4000
database/static/equips/EQUIP_INDEX_08001_12000.csv,298117,4000
database/static/equips/EQUIP_INDEX_12001_16000.csv,293277,4000
database/static/equips/EQUIP_INDEX_16001_20000.csv,271185,4000
database/static/equips/EQUIP_INDEX_20001_22763.csv,188979,2763
database/static/equips/EQUIP_POSITION_TYPE_COUNTS.csv,735,45
database/static/equips/WEAPON_INDEX.csv,342521,4685
database/static/items/GEMS_0001_0600.csv,300595,600
database/static/items/GEMS_0601_1154.csv,355602,554
database/static/items/ITEMS_0001_1000.csv,475732,1000
database/static/items/ITEMS_1001_2000.csv,525144,1000
database/static/items/ITEMS_2001_3000.csv,498554,1000
database/static/items/ITEMS_3001_4000.csv,401846,1000
database/static/items/ITEMS_4001_5000.csv,290435,1000
database/static/items/ITEMS_5001_5238.csv,67097,238
database/static/items/ITEM_INDEX.csv,563519,5238
database/static/items/ITEM_POLICY_EXCEPTIONS.csv,195808,1740
database/static/items/ITEM_TOOL_INDEX.csv,584497,5238
database/static/items/ITEM_TYPE_COUNTS.csv,2522,94
database/static/items/MEDICINES.csv,77127,692
database/static/magic/MAGIC_ATTRIBUTES.csv,55153,509
database/static/monsters/BOSS_INDEX_0001_1200.csv,153514,1200
database/static/monsters/BOSS_INDEX_1201_2400.csv,168879,1200
database/static/monsters/BOSS_INDEX_2401_3579.csv,161219,1179
database/static/monsters/BOSS_NAME_INDEX.csv,51506,578
database/static/monsters/MONSTER_INDEX_00001_02500.csv,305472,2500
database/static/monsters/MONSTER_INDEX_02501_05000.csv,314976,2500
database/static/monsters/MONSTER_INDEX_05001_07500.csv,337782,2500
database/static/monsters/MONSTER_INDEX_07501_10000.csv,345224,2500
database/static/monsters/MONSTER_INDEX_10001_12500.csv,356237,2500
database/static/monsters/MONSTER_INDEX_12501_15000.csv,343829,2500
database/static/monsters/MONSTER_INDEX_15001_17121.csv,290475,2121
database/static/pets/PETS_00001_01500.csv,358521,1500
database/static/pets/PETS_01501_03000.csv,379858,1500
database/static/pets/PETS_03001_04500.csv,373436,1500
database/static/pets/PETS_04501_06000.csv,398447,1500
database/static/pets/PETS_06001_07500.csv,400047,1500
database/static/pets/PETS_07501_08349.csv,223383,849
database/static/pets/PET_EQUIPS.csv,66031,70
database/static/pets/PET_EQUIP_SETS.csv,1589,13
database/static/pets/PET_FEATURES.csv,21974,11
database/static/pets/PET_INDEX_00001_02000.csv,119367,2000
database/static/pets/PET_INDEX_02001_04000.csv,144931,2000
database/static/pets/PET_INDEX_04001_06000.csv,156743,2000
database/static/pets/PET_INDEX_06001_08000.csv,156898,2000
database/static/pets/PET_INDEX_08001_08349.csv,25080,349
database/static/pets/SPIRITS_00001_01000.csv,61485,1000
database/static/pets/SPIRITS_01001_01889.csv,69256,889
database/static/pets/SPIRIT_FEATURES.csv,27222,3
database/static/pets/SPIRIT_INDEX_00001_01889.csv,93062,1889
database/static/skills/AUTO_SKILLS.csv,24805,300
database/static/skills/BOOKS.csv,39552,128
database/static/skills/BOOK_LEVEL_UP_COST.csv,125527,9
database/static/skills/FACTIONS.csv,1721,17
database/static/skills/SKILLS_0001_0700.csv,267424,700
database/static/skills/SKILLS_0701_1400.csv,210744,700
database/static/skills/SKILLS_1401_2091.csv,198562,691
database/static/skills/SKILL_INDEX.csv,259841,2091
database/static/skills/SKILL_PROPERTIES_0001_0700.csv,615321,700
database/static/skills/SKILL_PROPERTIES_0701_1400.csv,415946,700
database/static/skills/SKILL_PROPERTIES_1401_2044.csv,357988,644
database/static/skills/SKILL_TOOL_INDEX.csv,176417,2091
database/static/skills/index/SKILL_TOOL_INDEX_0001_0420.csv,33205,420
database/static/skills/index/SKILL_TOOL_INDEX_0421_0840.csv,31199,420
database/static/skills/index/SKILL_TOOL_INDEX_0841_1260.csv,32605,420
database/static/skills/index/SKILL_TOOL_INDEX_1261_1680.csv,42258,420
database/static/skills/index/SKILL_TOOL_INDEX_1681_2091.csv,37430,411
database/static/tasks/ACTIVITIES.csv,50117,45
database/static/tasks/GROW_POINTS.csv,28357,407
database/static/tasks/GUILD_TASKS.csv,181099,360
database/static/tasks/TASKS_0001_0260.csv,384895,260
database/static/tasks/TASKS_0261_0516.csv,451985,256
database/static/tasks/TASK_INDEX.csv,64746,516
database/static/tasks/TASK_OBJECTIVES.csv,77380,591
database/static/tasks/objectives/TASK_OBJECTIVES_0001_0160.csv,19037,160
database/static/tasks/objectives/TASK_OBJECTIVES_0161_0320.csv,21087,160
database/static/tasks/objectives/TASK_OBJECTIVES_0321_0480.csv,20905,160
database/static/tasks/objectives/TASK_OBJECTIVES_0481_0591.csv,16714,111
