Name,PacketID
CMD_SHOW_MESSAGEBOX,100000
CMD_GMCOMMAND,100001
CMD_SHOW_NOTIFICATIONTIP,100002
CMD_OPEN_TOKENSHOP,100003
CMD_REQUEST_BUYITEM,100004
CMD_ITEM_ACTION,100005
CMD_BAG_SORT,100006
CMD_SHOW_GAMEDIALOG,100007
CMD_CLIENT_CHAT,100008
CMD_SAVE_QUICK_SKILLS,100009
CMD_CLIENT_STALL,100010
CMD_GET_FRIENDS,100011
CMD_ADD_FRIEND,100012
CMD_REMOVE_FRIEND,100013
CMD_CLIENT_GET_GUILD_INFO,200010
CMD_CLIENT_GET_GUILD_LIST,200011
CMD_CLIENT_CREATE_GUILD,200012
CMD_CLIENT_GUILD_CHANGE_SLOGAN,200013
CMD_CLIENT_GUILD_MEMBER_REQUEST,200014
CMD_CLIENT_GUILD_KICK,200015
CMD_CLIENT_GUILD_CHANGRANK,200016
CMD_CLIENT_GUILD_JOIN_REQUEST_LIST,200017
CMD_CLIENT_GUILD_RESPONSE_JOINREQUEST,200018
CMD_CLIENT_GUILD_SAVE_AUTOJOIN_SETTING,200019
CMD_CLIENT_REQUEST_JOIN_GUILD,200020
CMD_CLIENT_REQUEST_SKILL_UP,200021
CMD_CLIENT_DONATE,200022
CMD_CLIENT_GUILD_LEVELUP,200023
CMD_SHARED_PARAMETER,200024
CMD_FISTRECHAGE_INFO,200025
CMD_FISTRECHAGE_REQUEST,200026
CMD_WELFARE_RECHAGE,200027
CMD_WELFARE_ONLINE,200028
CMD_WELFARE_LOGIN,200029
CMD_WELFARE_SEVENDAY_LOGIN,200030
CMD_WELFARE_LEVELUP,200031
CMD_WELFARE_CARDMONTH,200032
CMD_WELFARE_CHECKPOINT,200033
CMD_NPC_SHOP_DATA,200034
CMD_NPC_SHOP_BUY_REQUEST,200035
CMD_NPC_SHOP_SELL_REQUEST,200036
CMD_ACHIEVEMENT_ROLE,200037
CMD_GET_ROLE_ATTRIBUTES,200038
CMD_LEVEL_UP,200039
CMD_ASSIGN_REMAIN_POINTS,200040
CMD_PET_ACTION,200050
CMD_OTHER_ROLE_COMMAND,200051
CMD_OPEN_STORAGE,200052
