ID,GroupID,TaskType,TaskRule,FactionID,Name,OfferDialog,CompleteDialog,RequireLevel,NextTaskID,CopySceneScriptID,OfferMapID,OfferMapName,OfferNPCID,OfferNPCName,CompleteMapID,CompleteMapName,CompleteNPCID,CompleteNPCName,ObjectiveJSON,AllChildrenJSON
10361002,10361,1,2,2,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,7,Cái Bang Tổng Đà,239,Hồng Thông,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""7"",""NPCID"":""239""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10510012"",""Quantity"":""1""}}]"
10361003,10361,1,2,1,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,8,Quang Minh Điện,508,Lâm Nham,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""8"",""NPCID"":""508""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10513022"",""Quantity"":""1""}}]"
10361004,10361,1,2,3,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,14,Núi Võ Đang,752,Trương Trung Hành,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""14"",""NPCID"":""752""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10521032"",""Quantity"":""1""}}]"
10361005,10361,1,2,6,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,10,Thiên Long Tự,736,Bản Phàm,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""10"",""NPCID"":""736""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10510042"",""Quantity"":""1""}}]"
10361006,10361,1,2,8,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,11,Lăng Ba Động ,801,Tần Quán,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""11"",""NPCID"":""801""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10513052"",""Quantity"":""1""}}]"
10361007,10361,1,2,4,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,9,Nga My Sơn,179,Mãnh Long,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""9"",""NPCID"":""179""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10513082"",""Quantity"":""1""}}]"
10361008,10361,1,2,5,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,12,Tinh Túc Hải,821,Vương Ngạn,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""12"",""NPCID"":""821""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10520062"",""Quantity"":""1""}}]"
10361009,10361,1,2,7,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,13,Thiên Sơn,744,Phù Mẫn Nghi,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""13"",""NPCID"":""744""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10510072"",""Quantity"":""1""}}]"
10361010,10361,1,2,10,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,15,Mộ Dung,256,Mộ Dung Thắng,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""15"",""NPCID"":""256""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10520112"",""Quantity"":""1""}}]"
10361011,10361,1,2,12,Viện Trợ Nhạn Nam,"Dạo gần đây rất là phức tạp. Hy vọng các hạ nhanh chóng đến Nhạn Nam, trợ giúp cho những vệ quân tiêu diệt tàn dư của Tần Gia Trại.","Đến rất đúng lúc, ta đây đa tạ sự trợ giúp của các hạ!",30,10362,-1,16,Quỷ Cốc,928,Vương Huyền Phong,24,Nhạn Nam,842,Châu Vô Úy,"[{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]}]","[{""Tag"":""RequireTask"",""Attributes"":{""GroupID"":""10360""}},{""Tag"":""OfferNPC"",""Attributes"":{""MapID"":""16"",""NPCID"":""928""}},{""Tag"":""CompleteNPC"",""Attributes"":{""MapID"":""24"",""NPCID"":""842""}},{""Tag"":""KillMonster"",""Attributes"":{""MapID"":""24""},""Children"":[{""Tag"":""Monster"",""Attributes"":{""MonsterID"":""986"",""Count"":""100""}}]},{""Tag"":""FixedAwardItem"",""Attributes"":{""ItemID"":""10520112"",""Quantity"":""1""}}]"
