ID,Name,Type,EquipPoint,Level,FactionID,BoundRule,SellPrice,Identifiable,Star,BuffID,SetID,DurationHour
10444488,Vô Cực Thánh Mục Uyển,14,14,88,-1,2,1873,true,1,-1,-1,-1
10444489,Vô Cực Thánh Mục Uyển,14,14,89,-1,2,1916,true,1,-1,-1,-1
10444490,Vô Cực Thánh Mục Uyển,14,14,90,-1,2,1959,true,1,-1,-1,-1
10444491,Vô Cực Linh Động Thánh Uyển,14,14,91,-1,2,2002,true,1,-1,-1,-1
10444492,Vô Cực Linh Động Thánh Uyển,14,14,92,-1,2,2046,true,1,-1,-1,-1
10444493,Vô Cực Linh Động Thánh Uyển,14,14,93,-1,2,2090,true,1,-1,-1,-1
10444494,Vô Cực Linh Động Thánh Uyển,14,14,94,-1,2,2135,true,1,-1,-1,-1
10444495,Vô Cực Linh Động Thánh Uyển,14,14,95,-1,2,2180,true,1,-1,-1,-1
10444496,Vô Cực Linh Động Thánh Uyển,14,14,96,-1,2,2226,true,1,-1,-1,-1
10444497,Vô Cực Linh Động Thánh Uyển,14,14,97,-1,2,2272,true,1,-1,-1,-1
10444498,Vô Cực Linh Động Thánh Uyển,14,14,98,-1,2,2320,true,1,-1,-1,-1
10444499,Vô Cực Linh Động Thánh Uyển,14,14,99,-1,2,2367,true,1,-1,-1,-1
10444500,Vô Cực Linh Động Thánh Uyển,14,14,100,-1,2,2415,true,1,-1,-1,-1
10444501,Hoang Độc Miên Bố Uyển,14,14,1,-1,2,15,true,1,-1,-1,-1
10444502,Hoang Độc Miên Bố Uyển,14,14,2,-1,2,16,true,1,-1,-1,-1
10444503,Hoang Độc Miên Bố Uyển,14,14,3,-1,2,16,true,1,-1,-1,-1
10444504,Hoang Độc Miên Bố Uyển,14,14,4,-1,2,18,true,1,-1,-1,-1
10444505,Hoang Độc Miên Bố Uyển,14,14,5,-1,2,20,true,1,-1,-1,-1
10444506,Hoang Độc Miên Bố Uyển,14,14,6,-1,2,23,true,1,-1,-1,-1
10444507,Hoang Độc Miên Bố Uyển,14,14,7,-1,2,26,true,1,-1,-1,-1
10444508,Hoang Độc Miên Bố Uyển,14,14,8,-1,2,30,true,1,-1,-1,-1
10444509,Hoang Độc Miên Bố Uyển,14,14,9,-1,2,34,true,1,-1,-1,-1
10444510,Hoang Độc Miên Bố Uyển,14,14,10,-1,2,39,true,1,-1,-1,-1
10444511,Hoang Độc Miên Ty Hộ Uyển,14,14,11,-1,2,44,true,1,-1,-1,-1
10444512,Hoang Độc Miên Ty Hộ Uyển,14,14,12,-1,2,49,true,1,-1,-1,-1
10444513,Hoang Độc Miên Ty Hộ Uyển,14,14,13,-1,2,55,true,1,-1,-1,-1
10444514,Hoang Độc Miên Ty Hộ Uyển,14,14,14,-1,2,61,true,1,-1,-1,-1
10444515,Hoang Độc Miên Ty Hộ Uyển,14,14,15,-1,2,68,true,1,-1,-1,-1
10444516,Hoang Độc Miên Ty Hộ Uyển,14,14,16,-1,2,76,true,1,-1,-1,-1
10444517,Hoang Độc Miên Ty Hộ Uyển,14,14,17,-1,2,84,true,1,-1,-1,-1
10444518,Hoang Độc Miên Ty Hộ Uyển,14,14,18,-1,2,92,true,1,-1,-1,-1
10444519,Hoang Độc Miên Ty Hộ Uyển,14,14,19,-1,2,101,true,1,-1,-1,-1
10444520,Hoang Độc Miên Ty Hộ Uyển,14,14,20,-1,2,111,true,1,-1,-1,-1
10444521,Hoang Độc Bồ Bố Uyển,14,14,21,-1,2,120,true,1,-1,-1,-1
10444522,Hoang Độc Bồ Bố Uyển,14,14,22,-1,2,131,true,1,-1,-1,-1
10444523,Hoang Độc Bồ Bố Uyển,14,14,23,-1,2,141,true,1,-1,-1,-1
10444524,Hoang Độc Bồ Bố Uyển,14,14,24,-1,2,152,true,1,-1,-1,-1
10444525,Hoang Độc Bồ Bố Uyển,14,14,25,-1,2,164,true,1,-1,-1,-1
10444526,Hoang Độc Bồ Bố Uyển,14,14,26,-1,2,176,true,1,-1,-1,-1
10444527,Hoang Độc Bồ Bố Uyển,14,14,27,-1,2,189,true,1,-1,-1,-1
10444528,Hoang Độc Bồ Bố Uyển,14,14,28,-1,2,203,true,1,-1,-1,-1
10444529,Hoang Độc Bồ Bố Uyển,14,14,29,-1,2,216,true,1,-1,-1,-1
10444530,Hoang Độc Bồ Bố Uyển,14,14,30,-1,2,231,true,1,-1,-1,-1
10444531,Hoang Độc Chân Ty Hộ Uyển,14,14,31,-1,2,245,true,1,-1,-1,-1
10444532,Hoang Độc Chân Ty Hộ Uyển,14,14,32,-1,2,260,true,1,-1,-1,-1
10444533,Hoang Độc Chân Ty Hộ Uyển,14,14,33,-1,2,276,true,1,-1,-1,-1
10444534,Hoang Độc Chân Ty Hộ Uyển,14,14,34,-1,2,292,true,1,-1,-1,-1
10444535,Hoang Độc Chân Ty Hộ Uyển,14,14,35,-1,2,308,true,1,-1,-1,-1
10444536,Hoang Độc Chân Ty Hộ Uyển,14,14,36,-1,2,325,true,1,-1,-1,-1
10444537,Hoang Độc Chân Ty Hộ Uyển,14,14,37,-1,2,343,true,1,-1,-1,-1
10444538,Hoang Độc Chân Ty Hộ Uyển,14,14,38,-1,2,361,true,1,-1,-1,-1
10444539,Hoang Độc Chân Ty Hộ Uyển,14,14,39,-1,2,380,true,1,-1,-1,-1
10444540,Hoang Độc Chân Ty Hộ Uyển,14,14,40,-1,2,399,true,1,-1,-1,-1
10444541,Hoang Độc Tô Cẩm Uyển,14,14,41,-1,2,418,true,1,-1,-1,-1
10444542,Hoang Độc Tô Cẩm Uyển,14,14,42,-1,2,438,true,1,-1,-1,-1
10444543,Hoang Độc Tô Cẩm Uyển,14,14,43,-1,2,458,true,1,-1,-1,-1
10444544,Hoang Độc Tô Cẩm Uyển,14,14,44,-1,2,479,true,1,-1,-1,-1
10444545,Hoang Độc Tô Cẩm Uyển,14,14,45,-1,2,500,true,1,-1,-1,-1
10444546,Hoang Độc Tô Cẩm Uyển,14,14,46,-1,2,522,true,1,-1,-1,-1
