ID,Name,Type,EquipPoint,Level,FactionID,BoundRule,SellPrice,Identifiable,Star,BuffID,SetID,DurationHour
10515135,Chưa dùng,15,15,60,-1,2,712,true,4,-1,-1,-1
10515136,Niệm Nguyệt Hộ Kiên,15,15,70,-1,1,1004,true,4,-1,200,-1
10515137,Chưa dùng,15,15,80,-1,2,1312,true,4,-1,-1,-1
10515138,Chưa dùng,15,15,90,-1,2,1792,true,4,-1,-1,-1
10515139,Cửu Biến Ảo Hóa Kiên,15,15,100,-1,1,2528,true,4,-1,203,-1
10515149,Hi Hòa Thần Huyền Kiên,15,15,100,-1,1,2528,true,20,-1,206,-1
10515150,Hàn Mai Hộ Kiên,15,15,10,-1,1,24,true,4,-1,208,-1
10515151,Chưa dùng,15,15,20,-1,2,87,true,4,-1,-1,-1
10515152,Chưa dùng,15,15,30,-1,2,135,true,4,-1,-1,-1
10515153,Chưa dùng,15,15,40,-1,2,264,true,4,-1,-1,-1
10515154,Triều Nhan Hộ Kiên,15,15,50,-1,1,443,true,4,-1,212,-1
10515155,Chưa dùng,15,15,60,-1,2,712,true,4,-1,-1,-1
10515156,Vịnh Xuân Hộ Kiên,15,15,70,-1,1,1004,true,4,-1,214,-1
10515157,Chưa dùng,15,15,80,-1,2,1312,true,4,-1,-1,-1
10515158,Chưa dùng,15,15,90,-1,2,1792,true,4,-1,-1,-1
10515159,Lẫm Đông Sương Hàn Kiên,15,15,100,-1,1,2528,true,4,-1,217,-1
10515169,Đấu Mỗ Tinh Uy Kiên,15,15,100,-1,1,2528,true,20,-1,220,-1
10515170,Kỳ Ảo Hộ Kiên,15,15,10,-1,1,24,true,4,-1,221,-1
10515171,Kiêm Hà Hộ Kiên,15,15,50,-1,1,443,true,4,-1,225,-1
10515172,Chung Phong Hộ Kiên,15,15,70,-1,1,1004,true,4,-1,227,-1
10515173,Ngọc Cung Quế Lạc Kiên,15,15,100,-1,1,2528,true,4,-1,230,-1
10515174,Dao Dạ Mộng Huyền Kiên,15,15,100,-1,1,2528,true,20,-1,233,-1
10515175,Tích Thời Hộ Kiên,15,15,10,-1,1,24,true,4,-1,234,-1
10515176,Vô Cầu Hộ Kiên,15,15,50,-1,1,443,true,4,-1,238,-1
10515177,Ý Sơ Hộ Kiên,15,15,70,-1,1,1004,true,4,-1,240,-1
10515178,Đối Ca Kiên,15,15,100,-1,1,2528,true,4,-1,243,-1
10515179,Lạc Kỳ Vô Cùng-Kiên,15,15,100,-1,1,2528,true,20,-1,246,-1
10516000,Chưa dùng,16,0,10,-1,2,144,true,4,-1,-1,-1
10516001,Chưa dùng,16,0,20,-1,2,432,true,4,-1,-1,-1
10516002,Cố Tri,16,0,30,-1,1,920,true,4,-1,236,-1
10516003,Chưa dùng,16,0,40,-1,2,1424,true,4,-1,-1,-1
10516004,Chưa dùng,16,0,50,-1,2,2160,true,4,-1,-1,-1
10516005,Thề Ước,16,0,60,-1,1,3080,true,4,-1,239,-1
10516006,Chưa dùng,16,0,70,-1,2,4456,true,4,-1,-1,-1
10516007,Chưa dùng,16,0,80,-1,2,5960,true,4,-1,-1,-1
10516008,Âm Tế Thiên Lý,16,0,90,-1,1,7960,true,4,-1,242,-1
10516009,Thính Phong Xướng Vãn,16,0,100,-1,1,12800,true,4,-1,245,-1
10517002,Kinh Thảo,17,0,30,-1,2,920,true,4,-1,249,-1
10517005,Vụ Ảnh,17,0,60,-1,2,3080,true,4,-1,252,-1
10517008,Mộ Trúc Đề Huyết,17,0,90,-1,2,7960,true,4,-1,255,-1
10517009,Khuynh Vân Tả Hải,17,0,100,-1,2,12800,true,4,-1,258,-1
10520000,Chưa dùng,20,7,10,-1,2,24,true,4,-1,-1,-1
10520001,Chưa dùng,20,7,20,-1,2,87,true,4,-1,-1,-1
10520002,Vi Đà Chi Khô,20,7,30,-1,1,135,true,4,-1,2,-1
10520003,Chưa dùng,20,7,40,-1,2,264,true,4,-1,-1,-1
10520004,Chưa dùng,20,7,50,-1,2,443,true,4,-1,-1,-1
10520005,La Hán Chi Tu,20,7,60,-1,1,712,true,4,-1,5,-1
10520006,Ma Thiên Chi Luyện,20,7,70,-1,1,1004,true,4,-1,6,-1
10520007,Chưa dùng,20,7,80,-1,2,1312,true,4,-1,-1,-1
10520008,Chưa dùng,20,7,90,-1,2,1792,true,4,-1,-1,-1
10520009,Tâm Hàn Chi Phong,20,7,100,-1,1,2528,true,4,-1,10,-1
10520010,Chưa dùng,20,7,10,-1,2,24,true,4,-1,-1,-1
10520011,Yết Đế Chi Ai,20,7,20,-1,1,87,true,4,-1,13,-1
10520012,Chưa dùng,20,7,30,-1,2,135,true,4,-1,-1,-1
10520013,Nộ Diệm Chi Liệm,20,7,40,-1,1,264,true,4,-1,15,-1
10520014,Chưa dùng,20,7,50,-1,2,443,true,4,-1,-1,-1
10520015,Chưa dùng,20,7,60,-1,2,712,true,4,-1,-1,-1
10520016,Chưa dùng,20,7,70,-1,2,1004,true,4,-1,-1,-1
10520017,Chưa dùng,20,7,80,-1,2,1312,true,4,-1,-1,-1
10520018,Thánh Hỏa Chi Tâm,20,7,90,-1,1,1792,true,4,-1,20,-1
10520019,Lãnh Nguyệt Chi Đúc,20,7,100,-1,1,2528,true,4,-1,22,-1
10520020,Hàng Long Chi Diệm,20,7,10,-1,1,24,true,4,-1,24,-1
10520021,Chưa dùng,20,7,20,-1,2,87,true,4,-1,-1,-1
10520022,Chưa dùng,20,7,30,-1,2,135,true,4,-1,-1,-1
10520023,Chưa dùng,20,7,40,-1,2,264,true,4,-1,-1,-1
10520024,Thần Long Chi Bích,20,7,50,-1,1,443,true,4,-1,28,-1
10520025,Chưa dùng,20,7,60,-1,2,712,true,4,-1,-1,-1
10520026,Chưa dùng,20,7,70,-1,2,1004,true,4,-1,-1,-1
10520027,Du Long Chi Hủ,20,7,80,-1,1,1312,true,4,-1,31,-1
10520028,Cầm Long Chi Thúc,20,7,90,-1,1,1792,true,4,-1,32,-1
10520029,Trảm Long Chi Ảnh,20,7,100,-1,1,2528,true,4,-1,34,-1
10520030,Chưa dùng,20,7,10,-1,2,24,true,4,-1,-1,-1
