ID,Name,Type,EquipPoint,IsWeaponPosition,Level,FactionID,BoundRule,BasePrice,SellPrice,Durability,Identifiable,Star,BuffID,SetID,DurationHour,BaseAttributesJSON,AttributesJSON,Description
10447085,Ly Nhân Chi Phong Tuyết Thiên Sơn Liêm,17,0,true,85,-1,2,11578,9262,198,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""713""},{""Symbol"":""magic_magicatkbase"",""Value"":""713""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Công danh như mảnh giấy mỏng, mà kẻ qua ngàn núi gió tuyết mới có thể chạm vào cơ duyên. Thanh liêm này sau khi đúc xong, không lập tức truyền thừa mà được giấu kín nơi đỉnh tuyết sơn, gió lạnh ngàn năm, băng sương ăn mòn. Thân đao vì thế trở nên giá lạnh lạ thường, người thường vừa chạm vào đã run rẩy. Chỉ có cao nhân nội lực thâm hậu mới có thể trấn áp hàn khí mà điều khiển được nó."
10447086,Ly Nhân Chi Phong Tuyết Thiên Sơn Liêm,17,0,true,86,-1,2,11851,9480,199,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""713""},{""Symbol"":""magic_magicatkbase"",""Value"":""713""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Công danh như mảnh giấy mỏng, mà kẻ qua ngàn núi gió tuyết mới có thể chạm vào cơ duyên. Thanh liêm này sau khi đúc xong, không lập tức truyền thừa mà được giấu kín nơi đỉnh tuyết sơn, gió lạnh ngàn năm, băng sương ăn mòn. Thân đao vì thế trở nên giá lạnh lạ thường, người thường vừa chạm vào đã run rẩy. Chỉ có cao nhân nội lực thâm hậu mới có thể trấn áp hàn khí mà điều khiển được nó."
10447087,Ly Nhân Chi Phong Tuyết Thiên Sơn Liêm,17,0,true,87,-1,2,12128,9702,200,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""713""},{""Symbol"":""magic_magicatkbase"",""Value"":""713""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Công danh như mảnh giấy mỏng, mà kẻ qua ngàn núi gió tuyết mới có thể chạm vào cơ duyên. Thanh liêm này sau khi đúc xong, không lập tức truyền thừa mà được giấu kín nơi đỉnh tuyết sơn, gió lạnh ngàn năm, băng sương ăn mòn. Thân đao vì thế trở nên giá lạnh lạ thường, người thường vừa chạm vào đã run rẩy. Chỉ có cao nhân nội lực thâm hậu mới có thể trấn áp hàn khí mà điều khiển được nó."
10447088,Ly Nhân Chi Phong Tuyết Thiên Sơn Liêm,17,0,true,88,-1,2,12408,9926,201,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""713""},{""Symbol"":""magic_magicatkbase"",""Value"":""713""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Công danh như mảnh giấy mỏng, mà kẻ qua ngàn núi gió tuyết mới có thể chạm vào cơ duyên. Thanh liêm này sau khi đúc xong, không lập tức truyền thừa mà được giấu kín nơi đỉnh tuyết sơn, gió lạnh ngàn năm, băng sương ăn mòn. Thân đao vì thế trở nên giá lạnh lạ thường, người thường vừa chạm vào đã run rẩy. Chỉ có cao nhân nội lực thâm hậu mới có thể trấn áp hàn khí mà điều khiển được nó."
10447089,Ly Nhân Chi Phong Tuyết Thiên Sơn Liêm,17,0,true,89,-1,2,12691,10152,202,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""713""},{""Symbol"":""magic_magicatkbase"",""Value"":""713""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Công danh như mảnh giấy mỏng, mà kẻ qua ngàn núi gió tuyết mới có thể chạm vào cơ duyên. Thanh liêm này sau khi đúc xong, không lập tức truyền thừa mà được giấu kín nơi đỉnh tuyết sơn, gió lạnh ngàn năm, băng sương ăn mòn. Thân đao vì thế trở nên giá lạnh lạ thường, người thường vừa chạm vào đã run rẩy. Chỉ có cao nhân nội lực thâm hậu mới có thể trấn áp hàn khí mà điều khiển được nó."
10447090,Ly Nhân Chi Phong Tuyết Thiên Sơn Liêm,17,0,true,90,-1,2,12978,10382,203,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""799""},{""Symbol"":""magic_magicatkbase"",""Value"":""799""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Công danh như mảnh giấy mỏng, mà kẻ qua ngàn núi gió tuyết mới có thể chạm vào cơ duyên. Thanh liêm này sau khi đúc xong, không lập tức truyền thừa mà được giấu kín nơi đỉnh tuyết sơn, gió lạnh ngàn năm, băng sương ăn mòn. Thân đao vì thế trở nên giá lạnh lạ thường, người thường vừa chạm vào đã run rẩy. Chỉ có cao nhân nội lực thâm hậu mới có thể trấn áp hàn khí mà điều khiển được nó."
10447091,Ly Nhân Chi Hữu Tư,17,0,true,91,-1,2,13267,10613,204,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""799""},{""Symbol"":""magic_magicatkbase"",""Value"":""799""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Núi xanh có ý, hạc trắng vô cầu. Người mang thanh liêm này tuy phiêu dạt nơi giang hồ, đao vung máu chảy, nhưng trong lòng vẫn giữ một nỗi vương mang chẳng thể nói thành lời. Đạo là hữu tình, nhưng kiếm vô tình; hành xử không vướng, mà tâm vẫn chẳng buông. Chính là cảnh giới giữa tình và vô tình, giữa nhập thế mà lại siêu nhiên."
10447092,Ly Nhân Chi Hữu Tư,17,0,true,92,-1,2,13560,10848,205,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""799""},{""Symbol"":""magic_magicatkbase"",""Value"":""799""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Núi xanh có ý, hạc trắng vô cầu. Người mang thanh liêm này tuy phiêu dạt nơi giang hồ, đao vung máu chảy, nhưng trong lòng vẫn giữ một nỗi vương mang chẳng thể nói thành lời. Đạo là hữu tình, nhưng kiếm vô tình; hành xử không vướng, mà tâm vẫn chẳng buông. Chính là cảnh giới giữa tình và vô tình, giữa nhập thế mà lại siêu nhiên."
10447093,Ly Nhân Chi Hữu Tư,17,0,true,93,-1,2,13856,11084,206,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""799""},{""Symbol"":""magic_magicatkbase"",""Value"":""799""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Núi xanh có ý, hạc trắng vô cầu. Người mang thanh liêm này tuy phiêu dạt nơi giang hồ, đao vung máu chảy, nhưng trong lòng vẫn giữ một nỗi vương mang chẳng thể nói thành lời. Đạo là hữu tình, nhưng kiếm vô tình; hành xử không vướng, mà tâm vẫn chẳng buông. Chính là cảnh giới giữa tình và vô tình, giữa nhập thế mà lại siêu nhiên."
10447094,Ly Nhân Chi Hữu Tư,17,0,true,94,-1,2,14155,11324,207,true,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""799""},{""Symbol"":""magic_magicatkbase"",""Value"":""799""}]","[{""Symbol"":""magic_magicatk"",""Rate"":""100""},{""Symbol"":""magic_hit"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Núi xanh có ý, hạc trắng vô cầu. Người mang thanh liêm này tuy phiêu dạt nơi giang hồ, đao vung máu chảy, nhưng trong lòng vẫn giữ một nỗi vương mang chẳng thể nói thành lời. Đạo là hữu tình, nhưng kiếm vô tình; hành xử không vướng, mà tâm vẫn chẳng buông. Chính là cảnh giới giữa tình và vô tình, giữa nhập thế mà lại siêu nhiên."
