ID,Name,Type,EquipPoint,IsWeaponPosition,Level,FactionID,BoundRule,BasePrice,SellPrice,Durability,Identifiable,Star,BuffID,SetID,DurationHour,BaseAttributesJSON,AttributesJSON,Description
10100000,Thanh Đồng Đao,0,0,true,1,-1,2,20,16,114,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""75""},{""Symbol"":""magic_magicatkbase"",""Value"":""75""}]",,"Vũ khí của tân thủ, không có giá trị gì.<color=#00FF00> (Ấn phím phải để trang bị)"
10100001,Bạt Phong Đao,0,0,true,10,-1,2,180,144,125,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""117""},{""Symbol"":""magic_magicatkbase"",""Value"":""117""}]",,"Chế tạo bằng thanh đồng, dáng đao cong, nặng nề, những người có sức khỏe như trâu mới có thể sử dụng"
10100002,Chiết Thiết Đao,0,0,true,20,-1,2,540,432,137,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""202""},{""Symbol"":""magic_magicatkbase"",""Value"":""202""}]",,"Sống đao rộng, lưỡi đao dày hơi cùn, có thể chặt sắt, vì vậy mới có tên gọi như vậy"
10100003,Cổ Nguyệt Đao,0,0,true,30,-1,2,1150,920,150,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""287""},{""Symbol"":""magic_magicatkbase"",""Value"":""287""}]",,"Thanh đao có màu bạc, đao cong giống như mũi voi, lưỡi đao bóng lưỡng sắc bén, sống đao có thể móc lấy kẻ địch, uy lực trung bình."
10100004,Khai Sơn Viện,0,0,true,40,-1,2,1780,1424,162,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""373""},{""Symbol"":""magic_magicatkbase"",""Value"":""373""}]",,"Sống đao cong giống như trăng khuyết, cong hơn nữa không thẳng, có thể bổ thẳng và cũng có thể chém ngang."
10100005,Kim Bối Đao,0,0,true,50,-1,2,2700,2160,175,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""458""},{""Symbol"":""magic_magicatkbase"",""Value"":""458""}]",,"Thân đao chỗ gần chuôi nhỏ, lưỡi đao đến tận mũi đao, sau đó tiếo tục cong đến sống đao, dày và có lực, thân đao có trang trí hoa văn màu vàng."
10100006,Nguyệt Nha Sản,0,0,true,60,-1,2,3850,3080,187,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""543""},{""Symbol"":""magic_magicatkbase"",""Value"":""543""}]",,"Đoạn trước của sản cong giống hình bán nguyệt, bên trong lõm, Nguyệt nha hướng ra bên ngoài, phía cuối có chuôi nắm giống hình chiếc rìu, đoạn cuối có lưỡi, khi tấn công địch có thể sử dụng cả mũi và chuôi sản, khiến cho kể định không thể phòng ngự được."
10100007,Liệt Diệm Đao,0,0,true,70,-1,2,5570,4456,200,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""628""},{""Symbol"":""magic_magicatkbase"",""Value"":""628""}]",,"Toàn thân vàng hồng, giống như ngọn lửa mạnh, khí thế vô cùng, tấn công thành rất thích hợp"
10100008,Ô Long Sản,0,0,true,80,-1,2,7450,5960,212,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""713""},{""Symbol"":""magic_magicatkbase"",""Value"":""713""}]",,"Tương truyền danh tướng cổ đại thường dùng, được làm từ ô kim, trên đó có khắc du long phi thiên, sát khí vây quanh."
10100009,Tử Kim Đao,0,0,true,90,-1,2,9950,7960,225,false,1,-1,-1,-1,"[{""Symbol"":""magic_physatkbase"",""Value"":""799""},{""Symbol"":""magic_magicatkbase"",""Value"":""799""}]",,"Là loại binh khí được rèn từ Tử kim thạch đã qua tôi luyện, tinh xảo vô cùng."
