ID,Name,Type,EquipPoint,IsWeaponPosition,Level,FactionID,BoundRule,BasePrice,SellPrice,Durability,Identifiable,Star,BuffID,SetID,DurationHour,BaseAttributesJSON,AttributesJSON,Description
10515135,Chưa dùng,15,15,false,60,-1,2,890,712,200,true,4,-1,-1,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""202""},{""Symbol"":""magic_magicdefbase"",""Value"":""202""}]","[{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""}]",Chưa dùng
10515136,Niệm Nguyệt Hộ Kiên,15,15,false,70,-1,1,1255,1004,200,true,4,-1,200,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""234""},{""Symbol"":""magic_magicdefbase"",""Value"":""234""}]","[{""Symbol"":""magic_magicdef"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Du du minh nguyệt, sương nhiễm bạch lộ. Tương tư tam tỉnh, xuân phong nhất độ. Vật sinh ra từ trăng. <color=#00FF00><br>(Cả bộ do Đường Nhạc Xung của <color=#FFFF00>Đường Môn<color=#00FF00> thiết kế)"
10515137,Chưa dùng,15,15,false,80,-1,2,1640,1312,200,true,4,-1,-1,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""266""},{""Symbol"":""magic_magicdefbase"",""Value"":""266""}]","[{""Symbol"":""magic_physdef"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""}]",Chưa dùng
10515138,Chưa dùng,15,15,false,90,-1,2,2240,1792,200,true,4,-1,-1,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""298""},{""Symbol"":""magic_magicdefbase"",""Value"":""298""}]","[{""Symbol"":""magic_physdef"",""Rate"":""100""},{""Symbol"":""magic_dodge"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""}]",Chưa dùng
10515139,Cửu Biến Ảo Hóa Kiên,15,15,false,100,-1,1,3160,2528,200,true,4,-1,203,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""330""},{""Symbol"":""magic_magicdefbase"",""Value"":""330""}]","[{""Symbol"":""magic_magicdef"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Thần hành cửu biến, thăng vân đạp yến. Bào liên duệ khởi, thiên ngoại phi tiên. Vật sinh ra từ gió. <color=#00FF00><br>(Cả bộ do Đường Nhạc Xung của <color=#FFFF00>Đường Môn<color=#00FF00> thiết kế)"
10515149,Hi Hòa Thần Huyền Kiên,15,15,false,100,-1,1,3160,2528,200,true,20,-1,206,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""330""},{""Symbol"":""magic_magicdefbase"",""Value"":""330""}]","[{""Symbol"":""magic_magicdef"",""Rate"":""100""},{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""},{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Hi hòa tán tức, trầm thiên trụy địa. Thanh trọc tái phán, tiễn thích huyền cơ. <color=#00FF00><br>(Cả bộ do Đường Nhạc Xung của <color=#FFFF00>Đường Môn<color=#00FF00> thiết kế)<color=#00FF00>"
10515150,Hàn Mai Hộ Kiên,15,15,false,10,-1,1,30,24,200,true,4,-1,208,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""42""},{""Symbol"":""magic_magicdefbase"",""Value"":""42""}]","[{""Symbol"":""magic_dexterity"",""Rate"":""100""}]","Sơ ảnh hoành tà, ám hương phù động.<color=#00FF00><br>(Cả bộ do Lý Kế Long của <color=#FFFF00>Quỷ Cốc<color=#00FF00> thiết kế)"
10515151,Chưa dùng,15,15,false,20,-1,2,109,87,200,true,4,-1,-1,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""74""},{""Symbol"":""magic_magicdefbase"",""Value"":""74""}]","[{""Symbol"":""magic_energy"",""Rate"":""100""}]",Chưa dùng
10515152,Chưa dùng,15,15,false,30,-1,2,169,135,200,true,4,-1,-1,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""106""},{""Symbol"":""magic_magicdefbase"",""Value"":""106""}]","[{""Symbol"":""magic_energy"",""Rate"":""100""}]",Chưa dùng
10515153,Chưa dùng,15,15,false,40,-1,2,331,264,200,true,4,-1,-1,-1,"[{""Symbol"":""magic_physdefbase"",""Value"":""138""},{""Symbol"":""magic_magicdefbase"",""Value"":""138""}]","[{""Symbol"":""magic_energy"",""Rate"":""100""},{""Symbol"":""magic_stamina"",""Rate"":""100""}]",Chưa dùng
