ID,Name,FactionID,Type,TargetType,RequireLevel,CastRange,Property
468,Thiên Canh Chính Khí,6,Active,Self,30,0,tianlong_tiangangzhanqi
469,Tĩnh Ảnh Trầm Bích,6,Active,Enemy,40,15,tianlong_jingyingchenbi
470,Đồ Tất Thuật,6,Passive,Self,1,0,tianlong_tuxishu
471,Dục Cầm Địch Tung,6,Active,Enemy,1,15,tianlong_yuqindisong
47101,Dục Cầm Địch Tung - Hư nhược,-1,Auto,Enemy,1,0,tianlong_yuqindisong_child
472,Tiết Quyền Thức,6,Active,Self,30,0,tianlong_jiequanshi
473,Bạch Hồng Quán Nhật,6,Active,Self,50,0,tianlong_baihongguanri
474,Ma Lệ Thuật,6,Passive,Self,1,0,tianlong_molishu
475,Tuyết Ủng Lam Quan,6,Active,Enemy,1,15,tianlong_xueyonglanguan
47501,Tuyết Ủng Lam Quan - Phong huyệt,-1,Auto,Enemy,1,0,tianlong_xueyonglanguan_child
476,Phá Kiếm Thức,6,Active,Self,30,0,tianlong_pojianshi
47601,Phá Kiếm Thức - Hư nhược,-1,Auto,Enemy,1,0,tianlong_pojianshi_child
477,Kim Ngọc Mãn Đường,6,Active,Self,50,0,tianlong_jinyumantang
478,Vạn Nhạc Triều Tông,6,Active,Enemy,10,15,tianlong_wanyuechaozong
479,Phi Khô Phi Vinh,6,Active,Self,30,0,tianlong_feikufeiyong
480,Bách Bộ Xuyên Dương,6,Active,Self,60,0,tianlong_baibuchuanyang
481,Thiếu Trạch Kiếm,6,Active,Enemy,65,15,tianlong_shaozhaijian
48101,Thiếu Trạch Kiếm - Hư nhược,-1,Auto,Enemy,1,0,tianlong_shaozhaijian_child
482,Chính Khí Hạo Nhiên,6,Active,PeacePlayer,1,15,tianlong_zhengqihaoran
483,Thiếu Xung Kiếm Pháp,6,Active,PeacePlayer,1,15,tianlong_shaochongjianfa
487,Thương Dương Kiếm,6,Active,Enemy,45,15,tianlong_shangyangjian
48701,Thương Dương Kiếm - Xuất huyết,-1,Auto,Enemy,1,0,tianlong_shangyangjian_child
488,Trung Xung Kiếm,6,Active,Enemy,80,15,tianlong_zhongchongjian
48801,Trung Xung Kiếm - Hư nhược,-1,Auto,Enemy,1,0,tianlong_zhongchongjian_child_1
48802,Trung Xung Kiếm - Hư nhược,-1,Auto,Enemy,1,0,tianlong_zhongchongjian_child_2
48803,Trung Xung Kiếm - Hư nhược,-1,Auto,Enemy,1,0,tianlong_zhongchongjian_child_3
489,Hoàng Long Nộ Minh,6,Active,Enemy,1,15,eighthbook_damage_balanced
490,Long Bàn Đẩu Lý,6,Active,Enemy,1,15,eighthbook_control_balanced
491,Nhạn Nam Phi,7,Active,Enemy,1,3,tianshan_yannanfei
492,Ưng Kích Trường Không,7,Active,Enemy,10,0,tianshan_yingjichangkong
493,Phụng Vũ Cửu Thiên,7,Active,Enemy,45,3,tianshan_fengyujiutian
494,Bạch Câu Quá Khích,7,Active,Self,20,0,tianshan_baigouguoji
495,Thiết Toả Hoành Giang,7,Active,Enemy,30,15,tianshan_tiecuohengjiang
496,Thập Diện Mai Phục,7,Active,SelfAndAlly,40,0,tianshan_shimianmaifu
497,Kim Thiền Thoát Xác,7,Active,Self,20,0,tianshan_jinchantuoqiao
498,Di Hoa Tiếp Mộc,7,Active,Self,30,0,tianshan_yihuajiemu
49801,Di Hoa Tiếp Mộc - Công kích,-1,Auto,Enemy,1,0,tianshan_yihuajiemu_child
499,Lan Hoa Điểm Huyệt Thủ,7,Active,Enemy,40,15,tianshan_lanhuadianxueshou
500,Ngưng Sương Giáp,7,Passive,Self,1,0,tianshan_ningshuangjia
501,Tuyết Hoa Lục Xuất,7,Active,Enemy,1,3,tianshan_xuehualuchu
501001,Tuyết Hoa Lục Xuất - Hội tâm,-1,Auto,Self,1,0,tianshan_xuehualuchu_child
502,Dung Tuyết Thức,7,Active,Self,30,0,tianshan_yongxueshi
503,Đạp Tuyết Vô Ngấn,7,Active,Self,50,20,tianshan_taxuewuhen
50301,Đạp Tuyết Vô Ngấn - Ẩn thân,-1,Auto,Self,1,0,tianshan_taxuewuhen_child
504,Sơ Ảnh Phiến,7,Passive,Self,1,0,tianshan_shuyingshan
505,Mai Hoa Tam Lộng,7,Active,Enemy,1,3,tianshan_meihuasanlong
50501,Mai Hoa Tam Lộng - Cương ngạnh,-1,Auto,Enemy,1,0,tianshan_meihuasanlong_child
506,Chiết Mai Thức,7,Active,Self,30,0,tianshan_zhemeishi
507,Hàn Mai Nở Rộ,7,Active,Enemy,50,15,tianshan_hanmeinufang
50701,Hàn Mai Nở Rộ - Công kích,-1,Auto,Enemy,1,0,tianshan_hanmeinufang_child
508,Dương Ca Thiên Quân,7,Active,Enemy,10,3,tianshan_yanggetianjun
509,Dương Xuân Bạch Tuyết,7,Active,Self,30,0,tianshan_yangchunbaixue
510,Dương Quan Tam Điệp,7,Active,Self,60,0,tianshan_yangguansandie
511,Đồng Sinh Cộng Tử,7,Active,Enemy,65,15,tianshan_tongshenggongsi
51101,Đồng Sinh Cộng Tử - Phong huyệt,-1,Auto,Enemy,1,0,tianshan_tongshenggongsi_child
512,Băng Cơ Ngọc Cốt,7,Active,PeacePlayer,1,15,tianshan_bingjiyugu
513,Thiên Địa Hàn Băng,7,Active,PeacePlayer,1,15,tianshan_tiandihanbing
514,Liễu Ám Hoa Minh,7,Active,PeacePlayer,1,15,tianshan_liaoanhuaming
515,Thiên Địa Minh Diệt,7,Active,EnemyPlayer,45,15,tianshan_tiandimingmie
51501,Thiên Địa Minh Diệt - Đóng băng,-1,Auto,Enemy,1,0,tianshan_tiandimingmie_child
516,Băng Ngưng Sương Hoa,7,Active,Enemy,80,3,tianshan_bingningshuanghua
517,Hồng Đào Bích Lãng,7,Active,Enemy,1,3,eighthbook_damage_physical
518,Tứ Thuỷ Vi Thành,7,Active,Enemy,1,3,eighthbook_control_physical
521,Lạc Anh Kiếm,8,Active,Enemy,1,15,xiaoyao_luoyingjian
522,Đào Hoa Trận,8,Active,Enemy,1,0,xiaoyao_taohuazhen
523,Đàn Chỉ Thần Công,8,Active,Enemy,45,15,xiaoyao_danzhishengong
524,Lăng Ba Vi Bộ,8,Active,Self,20,20,xiaoyao_lingboweibu
525,Họa Địa Vi Lao,8,Active,Enemy,30,15,xiaoyao_huadiweilao
526,Vân Thể Phong Thân,8,Active,SelfAndAlly,40,0,xiaoyao_yuntifengshen
527,Bát Trận Đồ,8,Active,Enemy,20,0,xiaoyao_bazhentu
52701,Bát Trận Đồ - Phát nổ,-1,Auto,Enemy,1,0,xiaoyao_bazhentu_child
528,Hỏa Nhãn Kim Tinh,8,Active,Self,30,0,xiaoyao_huoyanjinxing
529,Tru Tiên Trận,8,Active,Enemy,40,0,xiaoyao_zhuxianzhen
52901,Tru Tiên Trận - Phát nổ,-1,Auto,Enemy,1,0,xiaoyao_zhuxianzhen_child
530,Bách Điểu Triều Phụng,8,Passive,Self,1,0,xiaoyao_bainiaochaofeng
531,Cao Sơn Lưu Thủy,8,Active,Self,20,0,xiaoyao_gaoshanliushui
