RowIndex,Tag,ID,LeftModel,RightModel,BackModel,Text,ChildrenJSON
1,Weapon,361,,YaoChu,,,
2,Weapon,362,,YuGan,,,
3,Weapon,363,,KuangChu,,,
4,Weapon,364,,RenWuSaoBa,,,
5,Weapon,365,,mao1a,,,
6,Weapon,366,,mao1b,,,
7,Weapon,367,,mao1c,,,
8,Weapon,368,,mao1d,,,
9,Weapon,369,,mao2a,,,
10,Weapon,370,,mao2b,,,
11,Weapon,371,,mao2c,,,
12,Weapon,372,,mao2d,,,
13,Weapon,373,,mao2e,,,
14,Weapon,374,,mao3a,,,
15,Weapon,375,,mao3b,,,
16,Weapon,376,,mao3c,,,
17,Weapon,377,,mao3d,,,
18,Weapon,378,,mao4a,,,
19,Weapon,379,,mao4b,,,
20,Weapon,380,,mao4c,,,
21,Weapon,381,,mao4d,,,
22,Weapon,382,,mao5a,,,
23,Weapon,383,,mao5b,,,
24,Weapon,384,,mao5c,,,
25,Weapon,385,,mao5d,,,
26,Weapon,386,,mao6a,,,
27,Weapon,387,,mao6b,,,
28,Weapon,388,,mao6c,,,
29,Weapon,389,,mao6d,,,
30,Weapon,390,,mao6e,,,
31,Weapon,391,,mao7a,,,
32,Weapon,392,,mao7b,,,
33,Weapon,393,,mao7c,,,
34,Weapon,394,,mao7d,,,
35,Weapon,395,,mao7e,,,
36,Weapon,396,,mao8a,,,
37,Weapon,397,,mao8b,,,
38,Weapon,398,,mao8c,,,
39,Weapon,399,,mao8d,,,
40,Weapon,400,,mao8e,,,
41,Weapon,401,,mao9a,,,
42,Weapon,402,,mao9b,,,
43,Weapon,403,,mao9c,,,
44,Weapon,404,,mao9d,,,
45,Weapon,405,,mao10a,,,
46,Weapon,406,,mao10b,,,
47,Weapon,407,,mao10c,,,
48,Weapon,408,,mao10d,,,
49,Weapon,409,,mao10e,,,
50,Weapon,410,,DaDao1a,,,
51,Weapon,411,,DaDao1a2,,,
52,Weapon,412,,DaDao1b1,,,
53,Weapon,413,,DaDao1b,,,
54,Weapon,414,,DaDao2a,,,
55,Weapon,415,,DaDao2a2,,,
56,Weapon,416,,DaDao2b,,,
57,Weapon,417,,DaDao2b2,,,
58,Weapon,418,,DaDao3a,,,
59,Weapon,419,,DaDao3a2,,,
60,Weapon,420,,DaDao3b,,,
61,Weapon,421,,DaDao3b2,,,
62,Weapon,422,,DaDao3c,,,
63,Weapon,423,,DaDao3c2,,,
64,Weapon,424,,DaDao3d,,,
65,Weapon,426,,DaDao4a,,,
66,Weapon,427,,DaDao4a,,,
67,Weapon,428,,DaDao4b,,,
68,Weapon,429,,DaDao4b,,,
69,Weapon,430,,DaDao5a,,,
70,Weapon,431,,DaDao5a2,,,
71,Weapon,432,,DaDao6a,,,
72,Weapon,434,,DaDao6b,,,
73,Weapon,435,,DaDao6b2,,,
74,Weapon,436,,DaDao6c,,,
75,Weapon,437,,DaDao6c2,,,
76,Weapon,438,,DaDao7a,,,
77,Weapon,439,,DaDao7a2,,,
78,Weapon,440,,DaDao7b,,,
79,Weapon,441,,DaDao8a,,,
80,Weapon,443,,DaDao8b2,,,
81,Weapon,444,,DaDao8c,,,
82,Weapon,445,,DaDao8c2,,,
83,Weapon,446,,DaDao8d,,,
84,Weapon,447,,DaDao9a,,,
85,Weapon,448,,DaDao9b,,,
86,Weapon,449,,DaDao9c,,,
87,Weapon,450,,DaDao9d,,,
88,Weapon,451,,DaDao10a,,,
89,Weapon,452,,DaDao10b,,,
90,Weapon,453,,DaDao10c,,,
91,Weapon,454,,DaDao10d,,,
92,Weapon,455,,DanDuan1a,,,
93,Weapon,457,,DanDuan1c,,,
94,Weapon,458,,DanDuan1d,,,
95,Weapon,459,,DanDuan2a,,,
96,Weapon,460,,DanDuan2b,,,
97,Weapon,461,,DanDuan2c,,,
98,Weapon,462,,DanDuan2d,,,
99,Weapon,463,,DanDuan3a,,,
100,Weapon,464,,DanDuan3b,,,
101,Weapon,465,,DanDuan3c,,,
102,Weapon,466,,DanDuan3d,,,
103,Weapon,467,,DanDuan4a,,,
104,Weapon,468,,DanDuan4b,,,
105,Weapon,469,,DanDuan4c,,,
106,Weapon,470,,DanDuan4d,,,
107,Weapon,471,,DanDuan4e,,,
108,Weapon,472,,DanDuan5a,,,
109,Weapon,473,,DanDuan5b,,,
110,Weapon,474,,DanDuan5c,,,
111,Weapon,475,,DanDuan5d,,,
112,Weapon,476,,DanDuan6a,,,
113,Weapon,477,,DanDuan6b,,,
114,Weapon,478,,DanDuan6c,,,
115,Weapon,479,,DanDuan6d,,,
116,Weapon,480,,DanDuan6e,,,
117,Weapon,481,,DanDuan7a,,,
118,Weapon,482,,DanDuan7b,,,
119,Weapon,483,,DanDuan7c,,,
120,Weapon,484,,DanDuan7d,,,
121,Weapon,485,,DanDuan8a,,,
122,Weapon,487,,DanDuan8c,,,
123,Weapon,488,,DanDuan8d,,,
124,Weapon,489,,DanDuan8e,,,
125,Weapon,490,,DanDuan9a,,,
126,Weapon,491,,DanDuan9b,,,
127,Weapon,492,,DanDuan9c,,,
128,Weapon,493,,DanDuan9d,,,
129,Weapon,494,,DanDuan9e,,,
130,Weapon,495,,DanDuan10a,,,
131,Weapon,496,,DanDuan10b,,,
132,Weapon,497,,DanDuan10c,,,
133,Weapon,498,,DanDuan10d,,,
134,Weapon,499,,DanDuan10e,,,
135,Weapon,500,Huan1a,Huan1a,,,
136,Weapon,501,Huan1a2,Huan1a2,,,
137,Weapon,502,Huan1b,Huan1b,,,
138,Weapon,503,Huan1b,Huan1b2,,,
139,Weapon,504,Huan2a,Huan2a,,,
140,Weapon,505,Huan2b,Huan2b,,,
141,Weapon,506,Huan2b,Huan2b2,,,
142,Weapon,507,Huan2c,Huan2c,,,
143,Weapon,508,Huan3a,Huan3a,,,
144,Weapon,509,Huan3a2,Huan3a2,,,
145,Weapon,510,Huan3b,Huan3b,,,
146,Weapon,511,Huan3b2,Huan3b2,,,
147,Weapon,512,Huan4a,Huan4a,,,
148,Weapon,513,Huan4b,Huan4b,,,
149,Weapon,514,Huan4c,Huan4c,,,
150,Weapon,515,Huan4c2,Huan4c2,,,
151,Weapon,516,Huan5a,Huan5a,,,
152,Weapon,517,Huan5b,Huan5b,,,
153,Weapon,518,Huan5b2,Huan5b2,,,
154,Weapon,519,Huan5c,Huan5c,,,
155,Weapon,520,Huan5c2,Huan5c2,,,
156,Weapon,521,Huan6a,Huan6a,,,
157,Weapon,522,Huan6b,Huan6b,,,
158,Weapon,523,Huan6c,Huan6c,,,
159,Weapon,524,Huan6c,Huan6c,,,
160,Weapon,525,Huan7a,Huan7a,,,
161,Weapon,526,Huan7b,Huan7b,,,
162,Weapon,527,Huan7c,Huan7c,,,
163,Weapon,528,Huan7d,Huan7d,,,
164,Weapon,529,Huan7e,Huan7e,,,
165,Weapon,530,Huan8a,Huan8a,,,
166,Weapon,531,Huan8b,Huan8b,,,
167,Weapon,532,Huan8c,Huan8c,,,
168,Weapon,533,Huan8d,Huan8d,,,
169,Weapon,534,Huan8e,Huan8e,,,
170,Weapon,535,Huan9a,Huan9a,,,
171,Weapon,536,Huan9b,Huan9b,,,
172,Weapon,537,Huan9c,Huan9c,,,
173,Weapon,538,Huan9d,Huan9d,,,
174,Weapon,539,Huan9e,Huan9e,,,
175,Weapon,540,Huan10a,Huan10a,,,
176,Weapon,541,Huan10b,Huan10b,,,
177,Weapon,542,Huan10c,Huan10c,,,
178,Weapon,543,Huan10d,Huan10d,,,
179,Weapon,544,Huan10e,Huan10e,,,
180,Weapon,545,,ShanZi1A,,,
181,Weapon,546,,ShanZi1B,,,
182,Weapon,547,,ShanZi1C,,,
183,Weapon,548,,ShanZi1C,,,
184,Weapon,549,,ShanZi2A,,,
185,Weapon,550,,ShanZi2A,,,
186,Weapon,551,,ShanZi2B,,,
187,Weapon,552,,ShanZi2B,,,
188,Weapon,553,,ShanZi3A,,,
189,Weapon,554,,ShanZi3A,,,
190,Weapon,555,,ShanZi3B,,,
191,Weapon,556,,ShanZi3C,,,
192,Weapon,557,,ShanZi4A,,,
193,Weapon,558,,ShanZi4A,,,
194,Weapon,559,,ShanZi4B,,,
195,Weapon,560,,ShanZi4B2,,,
196,Weapon,561,,ShanZi5A,,,
197,Weapon,562,,ShanZi5B,,,
198,Weapon,563,,ShanZi5C,,,
199,Weapon,564,,ShanZi5D,,,
200,Weapon,565,,ShanZi6A,,,
201,Weapon,566,,ShanZi6A2,,,
202,Weapon,567,,ShanZi6B,,,
203,Weapon,569,,ShanZi6C,,,
204,Weapon,570,,ShanZi7A,,,
205,Weapon,571,,ShanZi7A2,,,
206,Weapon,572,,ShanZi7B,,,
207,Weapon,573,,ShanZi7B2,,,
208,Weapon,574,,ShanZi8A,,,
209,Weapon,575,,ShanZi8A2,,,
210,Weapon,576,,ShanZi8A3,,,
211,Weapon,577,,ShanZi8B,,,
212,Weapon,578,,ShanZi8B2,,,
213,Weapon,579,,ShanZi8C,,,
214,Weapon,580,,ShanZi9A,,,
215,Weapon,581,,ShanZi9B,,,
216,Weapon,582,,ShanZi9C,,,
217,Weapon,583,,ShanZi9D,,,
218,Weapon,584,,ShanZi9E,,,
219,Weapon,585,,ShanZi10A,,,
220,Weapon,586,,ShanZi10B,,,
221,Weapon,587,,ShanZi10C,,,
222,Weapon,588,,ShanZi10D,,,
223,Weapon,590,ShuangDuan1A,ShuangDuan1A,,,
224,Weapon,591,ShuangDuan1B,ShuangDuan1B,,,
225,Weapon,592,ShuangDuan1C,ShuangDuan1C,,,
226,Weapon,593,ShuangDuan1D,ShuangDuan1D,,,
227,Weapon,594,ShuangDuan1E,ShuangDuan1E,,,
228,Weapon,595,ShuangDuan2A,ShuangDuan2A,,,
229,Weapon,596,ShuangDuan2B,ShuangDuan2B,,,
230,Weapon,597,ShuangDuan2C,ShuangDuan2C,,,
231,Weapon,598,ShuangDuan2D,ShuangDuan2D,,,
232,Weapon,599,ShuangDuan3A,ShuangDuan3A,,,
233,Weapon,600,ShuangDuan3B,ShuangDuan3B,,,
234,Weapon,601,ShuangDuan3C,ShuangDuan3C,,,
235,Weapon,602,ShuangDuan3D,ShuangDuan3D,,,
236,Weapon,603,ShuangDuan4A,ShuangDuan4A,,,
237,Weapon,604,ShuangDuan4B,ShuangDuan4B,,,
238,Weapon,605,ShuangDuan4C,ShuangDuan4C,,,
239,Weapon,606,ShuangDuan4D,ShuangDuan4D,,,
240,Weapon,607,ShuangDuan5A,ShuangDuan5A,,,
241,Weapon,608,ShuangDuan5B,ShuangDuan5B,,,
242,Weapon,610,ShuangDuan5D,ShuangDuan5D,,,
243,Weapon,611,ShuangDuan5E,ShuangDuan5E,,,
244,Weapon,612,ShuangDuan6A,ShuangDuan6A,,,
245,Weapon,613,ShuangDuan6B,ShuangDuan6B,,,
246,Weapon,614,ShuangDuan6C,ShuangDuan6C,,,
247,Weapon,615,ShuangDuan6D,ShuangDuan6D,,,
248,Weapon,616,ShuangDuan6E,ShuangDuan6E,,,
249,Weapon,617,ShuangDuan7A,ShuangDuan7A,,,
250,Weapon,618,ShuangDuan7B,ShuangDuan7B,,,
251,Weapon,619,ShuangDuan7C,ShuangDuan7C,,,
252,Weapon,620,ShuangDuan7D,ShuangDuan7D,,,
253,Weapon,621,ShuangDuan8A,ShuangDuan8A,,,
254,Weapon,622,ShuangDuan8B,ShuangDuan8B,,,
255,Weapon,623,ShuangDuan8C,ShuangDuan8C,,,
256,Weapon,624,ShuangDuan8D,ShuangDuan8D,,,
257,Weapon,625,ShuangDuan9A,ShuangDuan9A,,,
258,Weapon,626,ShuangDuan9B,ShuangDuan9B,,,
259,Weapon,627,ShuangDuan9C,ShuangDuan9C,,,
260,Weapon,628,ShuangDuan9D,ShuangDuan9D,,,
261,Weapon,629,ShuangDuan9E,ShuangDuan9E,,,
262,Weapon,630,ShuangDuan10A,ShuangDuan10A,,,
263,Weapon,631,ShuangDuan10B,ShuangDuan10B,,,
264,Weapon,632,ShuangDuan10C,ShuangDuan10C,,,
265,Weapon,633,ShuangDuan10D,ShuangDuan10D,,,
266,Weapon,634,ShuangDuan10E,ShuangDuan10E,,,
267,Weapon,639,YuFeng,YuFeng,,,
268,Weapon,642,,ZhuJiaoHuLu,,,
269,Weapon,643,,ZhuJiaoHuoBa,,,
270,Weapon,644,,BianShenGongShan,,,
271,Weapon,645,,BianShenPuShan,,,
272,Weapon,646,,GuiTouDao,,,
273,Weapon,647,,QiuShuiWuHen,,,
274,Weapon,648,ShenQiWuQi,ShenQiWuQi,,,
275,Weapon,649,,ZheShan,,,
276,Weapon,650,,mao11a,,,
277,Weapon,651,,mao12a,,,
278,Weapon,652,,DaDao11a,,,
279,Weapon,653,,DaDao12a,,,
280,Weapon,654,,DanDuan11a,,,
281,Weapon,655,,DanDuan12a,,,
282,Weapon,656,Huan11a,Huan11a,,,
283,Weapon,657,Huan12a,Huan12a,,,
284,Weapon,658,,ShanZi11a,,,
285,Weapon,659,,ShanZi12a,,,
286,Weapon,660,ShuangDuan11a,ShuangDuan11a,,,
287,Weapon,661,ShuangDuan12a,ShuangDuan12a,,,
288,Weapon,662,,ShuQiXuanTieShan,,,
289,Weapon,663,,ShuQiBaJiaoShan,,,
290,Weapon,664,,ShenQiMao10aShuaiBan,,,
291,Weapon,665,,ShenQiMao10aXiXie,,,
292,Weapon,666,,ShenQiMao10aXuRuo,,,
293,Weapon,667,,ShenQiDaDao10aShuaiBan,,,
294,Weapon,668,,ShenQiDaDao10aXiXie,,,
295,Weapon,669,,ShenQiDaDao10aPoZhan,,,
296,Weapon,670,ShenQiShuangDuanJian10aXiXie,ShenQiShuangDuanJian10aXiXie,,,
297,Weapon,671,ShenQiShuangDuanJian10aXuRuo,ShenQiShuangDuanJian10aXuRuo,,,
298,Weapon,672,ShenQiShuangDuanJian10aPoZhan,ShenQiShuangDuanJian10aPoZhan,,,
299,Weapon,673,,ShenQiDanDuanJian10aXiXie,,,
300,Weapon,674,,ShenQiDanDuanJian10aXiQi,,,
301,Weapon,675,,ShenQiDanDuanJian10aPoZhan,,,
302,Weapon,676,ShenQiShuangDuanFu10aXiXie,ShenQiShuangDuanFu10aXiXie,,,
303,Weapon,677,ShenQiShuangDuanFu10aDaNu,ShenQiShuangDuanFu10aDaNu,,,
304,Weapon,678,ShenQiShuangDuanFu10aXuRuo,ShenQiShuangDuanFu10aXuRuo,,,
305,Weapon,679,ShenQiHuan10bXiXie,ShenQiHuan10bXiXie,,,
306,Weapon,680,ShenQiHuan10bXiQi,ShenQiHuan10bXiQi,,,
307,Weapon,681,ShenQiHuan10bXuRuo,ShenQiHuan10bXuRuo,,,
308,Weapon,682,ShenQiHuan10aXiXie,ShenQiHuan10aXiXie,,,
309,Weapon,683,ShenQiHuan10aShuaiBan,ShenQiHuan10aShuaiBan,,,
310,Weapon,684,ShenQiHuan10aXuRuo,ShenQiHuan10aXuRuo,,,
311,Weapon,685,,ShenQiShanZi10aXiQi,,,
312,Weapon,686,,ShenQiShanZi10aXiXie,,,
313,Weapon,687,,ShenQiShanZi10aXuRuo,,,
314,Weapon,688,,ShenQiShanZhang10aShuaiBan,,,
315,Weapon,689,,ShenQiShanZhang10aXiXie,,,
316,Weapon,690,,ShenQiShanZhang10aXuRuo,,,
317,Weapon,691,,DaDao75a,,,
318,Weapon,692,,DaDao85a,,,
319,Weapon,693,Huan75a,Huan75a,,,
320,Weapon,694,Huan85a,Huan85a,,,
321,Weapon,695,,ShanZi75a,,,
322,Weapon,696,,ShanZi85a,,,
323,Weapon,697,,DanDuan75a,,,
324,Weapon,698,,DanDuan85a,,,
325,Weapon,709,,JiuDaMenPaiShenQiGaiBangGun,,,
326,Weapon,710,JiuDaMenPaiShenQiXingSuGou,JiuDaMenPaiShenQiXingSuGou,,,
327,Weapon,711,,JiuDaMenPaiShenQiShaoLinShanZhang,,,
328,Weapon,712,,JiuDaMenPaiShenQiXiaoYaoShanZi,,,
329,Weapon,713,,JiuDaMenPaiShenQiMingJiaoDao,,,
330,Weapon,714,,JiuDaMenPaiShenQiWuDangJian,,,
331,Weapon,715,JiuDaMenPaiShenQiTianShan,JiuDaMenPaiShenQiTianShan,,,
332,Weapon,716,JiuDaMenPaiShenQiTianLongHuan,JiuDaMenPaiShenQiTianLongHuan,,,
333,Weapon,717,,JiuDaMenPaiShenQiEMei,,,
