ID,CooldownGroup,Name,ShortDescription,Description,Icon,ActionID,PrecastActionID,FinishActionID,PrecastFx,CastFx,FlyFx,ExplodeFx,BuffFx,ChainingSourceFx,ChainingTargetFx,ChainingFx,Type,Style,FactionID,BookID,CanDirectlyStudy,RequireLevel,RequireWeapon,IsDamageSkill,CastRange,AttackRadius,AnimationDuration,TargetType,ProgressTime,MissileSpeed,MissileCount,FixedHitRate,FixedCritRate,ShowSkillNameWhenUse,Property,Tag,ProgressFluction
5001018,-1,Viêm Khí Hóa Kinh - Hóa Kinh (Cấp 8),,Tăng công kích thuộc tính cho bản thân.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_yanqihuajin_child_lv8,,20
5001019,-1,Viêm Khí Hóa Kinh - Hóa Kinh (Cấp 9),,Tăng công kích thuộc tính cho bản thân.,Buff16_12,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,100,-1,false,heroicorder_yanqihuajin_child_lv9,,20
50021,-1,Huyền Pháp Hóa Kinh (Cấp 1),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv1,,20
50022,-1,Huyền Pháp Hóa Kinh (Cấp 2),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv2,,20
50023,-1,Huyền Pháp Hóa Kinh (Cấp 3),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv3,,20
50024,-1,Huyền Pháp Hóa Kinh (Cấp 4),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv4,,20
50025,-1,Huyền Pháp Hóa Kinh (Cấp 5),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv5,,20
50026,-1,Huyền Pháp Hóa Kinh (Cấp 6),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv6,,20
50027,-1,Huyền Pháp Hóa Kinh (Cấp 7),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv7,,20
50028,-1,Huyền Pháp Hóa Kinh (Cấp 8),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv8,,20
50029,-1,Huyền Pháp Hóa Kinh (Cấp 9),Bị động,"Tấn công có xác suất kích hoạt Hóa kinh hệ Huyền, tăng Huyền công trong thời gian ngắn.",Buff16_13,-1,-1,-1,,,,,,,,,Passive,None,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,heroicorder_xuanfahuajin_lv9,,20
