ID,CooldownGroup,Name,ShortDescription,Description,Icon,ActionID,PrecastActionID,FinishActionID,PrecastFx,CastFx,FlyFx,ExplodeFx,BuffFx,ChainingSourceFx,ChainingTargetFx,ChainingFx,Type,Style,FactionID,BookID,CanDirectlyStudy,RequireLevel,RequireWeapon,IsDamageSkill,CastRange,AttackRadius,AnimationDuration,TargetType,ProgressTime,MissileSpeed,MissileCount,FixedHitRate,FixedCritRate,ShowSkillNameWhenUse,Property,Tag,ProgressFluction
946,942,Nhất Khúc Xuân Hiểu,Trấn phái tiêu thức,"Một trong các tuyệt học của Mạn Đà Sơn Trang. Sử dụng giúp đệ tử Mạn Đà đứng ở tư thế tấn công, tăng hội công đồng thời mỗi khi sử dụng các kỹ năng Huyền Âm Khúc sẽ có tỷ lệ phục hồi Mạn Đà Hoa",FightSkillMantuo1_1,100768,100800,-1,"0,Cast_NhatKhucXuanHieu",,,,,,,,Active,SingleTargetBuff,100,109,true,30,false,false,0,0,800,Self,5000,300,1,-1,-1,true,mantuo_yiquchunxiao,,20
94601,-1,Mạn Đà La Hoa,,Phục hồi Mạn Đà Hoa cho bản thân,FightSkillMantuo1_1,-1,-1,-1,,,,,,,,,Auto,SingleTargetBuff,-1,-1,false,1,false,false,0,0,0,Self,0,300,1,-1,-1,false,mantuo_yiquchunxiao_child,,20
947,947,Tẩm Viên Xuân,Hỗ trợ bản thân,"Bí thuật ghi lại trong Cổ Điển Lang Nha, ghi lại cách thức giúp Mạn Đà Hoa sinh trưởng, mỗi khi sử dụng các kỹ năng Huyền Âm Khúc sẽ có tỷ lệ phục hồi Mạn Đà Hoa",FightSkillMantuo1_2,100775,-1,-1,,"0,Cast_TamVienXuan",,,"0,Buff_TamVienXuan",,,,Active,SingleTargetBuff,100,109,true,50,false,false,0,0,800,Self,0,300,1,-1,-1,true,mantuo_qinyuanchun,,20
948,948,Tịnh Đế Sinh,Hỗ trợ bản thân,"Một trong các tuyệt học của Mạn Đà Sơn Trang, ghi lại chi tiết cách Mạn Đà Hoa sinh trưởng. Sử dụng lập tức phục hồi Mạn Đà Hoa cho bản thân",FightSkillMantuo1_3,100779,-1,-1,,"0,Cast_TinhDeSinh",,,,,,,Active,SingleTargetBuff,100,110,true,10,false,false,0,0,800,Self,0,300,1,-1,-1,true,mantuo_bingdisheng,,20
949,949,Phong Nhập Tùng,Hỗ trợ bản thân,Phổ đàn do hậu nhân Kê Khang tặng cho Vương Ngữ Yên. Sau khi sử dụng giải trạng thái phong huyệt cho bản thân,FightSkillMantuo1_4,100761,-1,-1,,"0,Cast_PhongNhapTung",,,,,,,Active,SingleTargetBuff,100,110,true,30,false,false,0,0,800,Self,0,300,1,-1,-1,true,mantuo_fengrusong,,20
950,950,Quảng Lăng Tán,Tấn công một mục tiêu,"Khúc đàn do Kê Khang sáng tác, uy lực cực lớn. Sau khi sử dụng gây sát thương cực lớn liên tục cho mục tiêu, đồng thời liên tục gây sát thương cho kẻ địch xung quanh mục tiêu",FightSkillMantuo1_5,100778,-1,-1,"0,Precast_QuangLangTan","0,Cast_QuangLangTan",,,"0,Buff_QuangLangTan",,,,Active,RangedSingleTarget,100,110,true,60,true,true,15,0,800,Enemy,0,300,1,100,-1,true,mantuo_guanglingsan,,20
95001,-1,Quảng Lăng Tán - Phát kích,,Công kích kẻ địch xung quanh,FightSkillMantuo1_5,-1,-1,-1,,,,,,,,,Auto,MultipleTargetsAroundTarget,-1,-1,false,1,false,true,0,3,0,Enemy,0,300,1,100,-1,false,mantuo_guanglingsan_child,,20
951,951,Vấn Hoa - Vô Kế Lưu Xuân,Tấn công một mục tiêu,"<color=#00FF00>[Lưu Phương Quyết]</color><br>Tuyệt kỹ riêng của Mạn Đà Sơn Trang, mượn ý vấn hoa để khống chế địch. Sử dụng Mạn Đà Hoa gây sát thương lớn và khiến mục tiêu suy yếu, làm giảm hiệu quả trị liệu",FightSkillMantuo1_6,100799,-1,-1,,"0,Cast_VanHoa","0,Fly_VanHoa","0,EXP_KietThachDieu",,,,,Active,RangedSingleTarget,100,111,false,45,true,true,15,0,1200,Enemy,0,500,1,-1,-1,true,mantuo_wenhuawujiliuchun,,20
95101,-1,Vấn Hoa - Vô Kế Lưu Xuân - Hư nhược,,"Gây trạng thái suy yếu, giảm hiệu quả trị liệu",FightSkillMantuo1_6,-1,-1,-1,,,,,"0,HuNhuoc;0,Buff_VanHoa",,,,Auto,MeleeSingleTarget,-1,-1,false,1,false,false,0,0,0,Enemy,0,300,1,100,-1,false,mantuo_wenhuawujiliuchun_child,,20
952,952,Huyền Lộng Hoa Ảnh,Tấn công một mục tiêu,"<color=#00FF00>[Huyền Âm Khúc]</color><br>Một trong các tuyệt học của Mạn Đà Sơn Trang, kết hợp đàn khúc và trăm hoa. Sau khi sử dụng khiến bản thân vào trạng thái Hoa Ảnh, trong trạng thái này, tiêu hao Mạn Đà Hoa khi thi triển kỹ năng giảm xuống",FightSkillMantuo1_7,100798,-1,-1,,"0,Cast_HuyenLongHoaAnh",,"0,EXP_KietThachDieu",,,,,Active,RangedSingleTarget,100,111,false,65,true,true,15,0,1000,Enemy,0,300,1,-1,-1,true,mantuo_xiannonghuaying,,20
