TaskID,TaskName,TaskType,TaskRule,ObjectiveTag,ObjectiveIndex,ChildTag,ChildIndex,AttributesJSON,ChildAttributesJSON
10287001,Bằng Hữu Của Đao Nghêu,6,0,LevelUp,4,,,"{""Level"":""31""}",
10288001,Tam Nhân Đồng Hành,0,0,Delivery,4,Item,1,"{""MapID"":""4"",""NPCID"":""635""}","{""ItemID"":""40002166"",""Quantity"":""1""}"
10289001,Nhất Đại Kỳ Tài,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""35""}",
10290001,Tam Nhân Tịnh Hành,0,0,Delivery,4,,,"{""MapID"":""24"",""NPCID"":""850""}",
10291001,Tam Sinh Hữu Hạnh,0,0,Delivery,4,,,"{""MapID"":""2"",""NPCID"":""35""}",
10292001,Nhung Mã Không Tổng,2,0,LootItemFromMonster,4,Monster,1,"{""MapID"":""24""}","{""MonsterID"":""990"",""ItemID"":""40002167"",""Rate"":""100"",""Quantity"":""10""}"
10293001,Tử Ngọ Châm Cứu Kinh,2,0,LootItemFromMonster,4,Monster,1,"{""MapID"":""26""}","{""MonsterID"":""11207"",""ItemID"":""40002165"",""Rate"":""100"",""Quantity"":""15""}"
10294001,Quay Lại Nhạn Nam,0,0,Delivery,4,,,"{""MapID"":""24"",""NPCID"":""842""}",
10295001,Lang Hại,1,0,KillMonster,4,Monster,1,"{""MapID"":""24""}","{""MonsterID"":""985"",""Count"":""20""}"
10296001,Báo Hại,1,0,KillMonster,4,Monster,1,"{""MapID"":""24""}","{""MonsterID"":""986"",""Count"":""20""}"
10297001,Chu Xứ Quét Sạch Ba Nạn,1,0,KillMonster,4,Monster,1,"{""MapID"":""24""}","{""MonsterID"":""512"",""Count"":""1""}"
10298001,Bí Mật Liên Lạc,2,0,LootItemFromMonster,4,Monster,1,"{""MapID"":""24""}","{""MonsterID"":""511"",""ItemID"":""40002056"",""Rate"":""100"",""Quantity"":""1""}"
10299001,Hoàn mỹ Khôi Hùng Bì,2,0,LootItemFromMonster,4,Monster,1,"{""MapID"":""24""}","{""MonsterID"":""762"",""ItemID"":""40002057"",""Rate"":""100"",""Quantity"":""1""}"
