TaskID,TaskName,TaskType,TaskRule,ObjectiveTag,ObjectiveIndex,ChildTag,ChildIndex,AttributesJSON,ChildAttributesJSON
10438001,Vô Gian Đạo,0,1,Delivery,4,,,"{""MapID"":""84"",""NPCID"":""489""}",
10439001,Kinh Vệ Phân Minh,1,1,KillMonster,3,Monster,1,"{""MapID"":""84""}","{""MonsterID"":""806"",""Count"":""30""}"
10440001,Ăn Miếng Trả Miếng,1,1,KillMonster,4,Monster,1,"{""MapID"":""84""}","{""MonsterID"":""804"",""Count"":""30""}"
10441001,Làm Khó,0,1,Delivery,4,,,"{""MapID"":""84"",""NPCID"":""494""}",
10442001,Bạch Lang Bì,2,1,LootItemFromMonster,3,Monster,1,"{""MapID"":""45""}","{""MonsterID"":""814"",""ItemID"":""40002068"",""Rate"":""50"",""Quantity"":""1""}"
10443001,Hắc Phong Mật,2,1,LootItemFromMonster,4,Monster,1,"{""MapID"":""45""}","{""MonsterID"":""1094"",""ItemID"":""40002067"",""Rate"":""50"",""Quantity"":""1""}"
10444001,Liêu Quân Nguyên Soái,0,1,Delivery,4,,,"{""MapID"":""45"",""NPCID"":""304""}",
10445001,Hồng Y Mã Phỉ,1,1,KillMonster,4,Monster,1,"{""MapID"":""45""}","{""MonsterID"":""1099"",""Count"":""40""}"
10446001,Hắc Y Mã Phỉ,1,1,KillMonster,3,Monster,1,"{""MapID"":""45""}","{""MonsterID"":""1096"",""Count"":""40""}"
10447001,La Bốc Cần Con Nhện,2,1,LootItemFromMonster,3,Monster,1,"{""MapID"":""61""}","{""MonsterID"":""808"",""ItemID"":""40002113"",""Rate"":""100"",""Quantity"":""10""}"
10447001,La Bốc Cần Con Nhện,2,1,LootItemFromMonster,3,Monster,2,"{""MapID"":""61""}","{""MonsterID"":""808"",""ItemID"":""40002114"",""Rate"":""100"",""Quantity"":""10""}"
10448001,La Bốc Cần Vân Mẫu,2,1,LootItemFromMonster,4,Monster,1,"{""MapID"":""61""}","{""MonsterID"":""809"",""ItemID"":""40002153"",""Rate"":""50"",""Quantity"":""10""}"
10449001,La Bốc Cần Long Huyết,2,1,LootItemFromMonster,4,Monster,1,"{""MapID"":""61""}","{""MonsterID"":""810"",""ItemID"":""40002154"",""Rate"":""50"",""Quantity"":""10""}"
10450001,Tuyệt Thế Thần Binh,0,1,Delivery,3,Item,1,"{""MapID"":""61"",""NPCID"":""856""}","{""ItemID"":""40002155"",""Quantity"":""1""}"
10451001,Ca Ca Ngốc,0,1,Delivery,4,Item,1,"{""MapID"":""61"",""NPCID"":""852""}","{""ItemID"":""40002156"",""Quantity"":""1""}"
10452001,Nữ Oa Thạch Nhân,1,1,KillMonster,4,Monster,1,"{""MapID"":""61""}","{""MonsterID"":""1087"",""Count"":""35""}"
10453001,Yển Sư Hộ Pháp,1,1,KillMonster,3,Monster,1,"{""MapID"":""61""}","{""MonsterID"":""812"",""Count"":""35""}"
10454001,Đại Yển Sư,1,1,KillMonster,4,Monster,1,"{""MapID"":""61""}","{""MonsterID"":""813"",""Count"":""35""}"
10455001,Không Hấp Bánh Bao,0,1,Delivery,4,Item,1,"{""MapID"":""45"",""NPCID"":""304""}","{""ItemID"":""40002157"",""Quantity"":""1""}"
10456001,Tuyệt Thế Hảo Nam Nhi,0,1,Delivery,3,,,"{""MapID"":""84"",""NPCID"":""486""}",
10457001,Thập tự quân,5,1,TransferNPC,4,MovePath,1,"{""MapID"":""84"",""NPCID"":""499""}","{""PosX"":""5270"",""PosY"":""2767"",""Delay"":""500"",""Talk"":""Chúng ta hãy đến chỗ xe ngựa""}"
10457001,Thập tự quân,5,1,TransferNPC,4,MovePath,2,"{""MapID"":""84"",""NPCID"":""499""}","{""PosX"":""5440"",""PosY"":""7900"",""Delay"":""500"",""Talk"":""Đa tạ Các hạ đã đưa ta đến đây!!!""}"
10458001,Dừng xe Phong Lâm đêm,0,1,Delivery,4,,,"{""MapID"":""61"",""NPCID"":""853""}",
10459001,Biện Pháp Tầm Cầu Ôn Noãn,0,1,Delivery,3,,,"{""MapID"":""47"",""NPCID"":""6""}",
10460001,Thông Báo Ninh Linh Ca,0,1,Delivery,4,Item,1,"{""MapID"":""47"",""NPCID"":""7""}","{""ItemID"":""40004442"",""Quantity"":""1""}"
10461001,Băng Thiên Tuyết Địa Linh Xí Nga,1,1,KillMonster,4,Monster,1,"{""MapID"":""47""}","{""MonsterID"":""6580"",""Count"":""10""}"
10462001,Tưởng Niệm Phụ Thân,0,1,Delivery,4,,,"{""MapID"":""47"",""NPCID"":""8""}",
10463,Tư Hương Tình Khiếp,2,1,LootItemFromMonster,4,Monster,1,"{""MapID"":""47""}","{""MonsterID"":""11307"",""ItemID"":""40004443"",""Rate"":""50"",""Quantity"":""10""}"
10464,Băng Thiên Tuyết Địa Thánh Xí Nga,1,1,KillMonster,4,Monster,1,"{""MapID"":""47""}","{""MonsterID"":""6590"",""Count"":""10""}"
