TaskID,TaskName,TaskType,TaskRule,ObjectiveTag,ObjectiveIndex,ChildTag,ChildIndex,AttributesJSON,ChildAttributesJSON
10364007,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,2,"{""MapID"":""31""}","{""MonsterID"":""520"",""Count"":""5""}"
10364008,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,1,"{""MapID"":""31""}","{""MonsterID"":""519"",""Count"":""5""}"
10364008,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,2,"{""MapID"":""31""}","{""MonsterID"":""520"",""Count"":""5""}"
10364009,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,1,"{""MapID"":""31""}","{""MonsterID"":""519"",""Count"":""5""}"
10364009,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,2,"{""MapID"":""31""}","{""MonsterID"":""520"",""Count"":""5""}"
10364010,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,1,"{""MapID"":""31""}","{""MonsterID"":""519"",""Count"":""5""}"
10364010,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,2,"{""MapID"":""31""}","{""MonsterID"":""520"",""Count"":""5""}"
10364011,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,1,"{""MapID"":""31""}","{""MonsterID"":""519"",""Count"":""5""}"
10364011,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,2,"{""MapID"":""31""}","{""MonsterID"":""520"",""Count"":""5""}"
10364012,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,1,"{""MapID"":""31""}","{""MonsterID"":""519"",""Count"":""5""}"
10364012,Viện Trợ Nhạn Bắc,1,2,KillMonster,4,Monster,2,"{""MapID"":""31""}","{""MonsterID"":""520"",""Count"":""5""}"
10365001,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365001,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365002,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365002,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365003,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365003,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365004,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365004,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365005,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365005,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365006,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365006,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365007,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365007,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365008,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365008,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365009,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365009,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365010,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365010,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365011,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365011,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10365012,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,1,"{""MapID"":""83""}","{""MonsterID"":""1035"",""Count"":""150""}"
10365012,Viện Trợ Võ Di,1,2,KillMonster,4,Monster,2,"{""MapID"":""83""}","{""MonsterID"":""522"",""Count"":""5""}"
10366001,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,1,"{""MapID"":""60""}","{""MonsterID"":""1049"",""Count"":""200""}"
10366001,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,2,"{""MapID"":""60""}","{""MonsterID"":""1050"",""Count"":""200""}"
10366002,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,1,"{""MapID"":""60""}","{""MonsterID"":""1049"",""Count"":""200""}"
10366002,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,2,"{""MapID"":""60""}","{""MonsterID"":""1050"",""Count"":""200""}"
10366003,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,1,"{""MapID"":""60""}","{""MonsterID"":""1049"",""Count"":""200""}"
10366003,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,2,"{""MapID"":""60""}","{""MonsterID"":""1050"",""Count"":""200""}"
10366004,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,1,"{""MapID"":""60""}","{""MonsterID"":""1049"",""Count"":""200""}"
10366004,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,2,"{""MapID"":""60""}","{""MonsterID"":""1050"",""Count"":""200""}"
10366005,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,1,"{""MapID"":""60""}","{""MonsterID"":""1049"",""Count"":""200""}"
10366005,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,2,"{""MapID"":""60""}","{""MonsterID"":""1050"",""Count"":""200""}"
10366006,Viện Trợ Thạch Lâm,1,2,KillMonster,4,Monster,1,"{""MapID"":""60""}","{""MonsterID"":""1049"",""Count"":""200""}"
