RowIndex,Tag,ID,Name,Icon,Model,ScaleP,Text,ChildrenJSON
1,ShapeShifting,1,Biến Thân - Phiêu Phiêu Áp,PetHeader1_20,HuangYa,39,,
2,ShapeShifting,2,Biến Thân - Phiêu Phiêu Thố,PetHeader1_25,BaiTu,39,,
3,ShapeShifting,3,Biến Thân - Thố Trưởng Thành,PetHeader1_25,BaiTu,39,,
4,ShapeShifting,4,Biến Thân - Thố Biến Dị,PetHeader1_25,FenHongTu,39,,
5,ShapeShifting,5,Biến Thân - Thố Tử Bảo Bảo,PetHeader1_25,BaiTu,39,,
6,ShapeShifting,6,Biến Thân - Yến Tử Trưởng Thành,PetHeader1_8,HeiYanZi,39,,
7,ShapeShifting,7,Biến Thân - Yến Tử Biến Dị,PetHeader1_8,FenHongYanZi,39,,
8,ShapeShifting,8,Biến Thân - Yến Tử Bảo Bảo,PetHeader1_8,HeiYanZi,39,,
9,ShapeShifting,9,Biến Thân - Quy Trưởng Thành,PetHeader1_14,HeSeGui,39,,
10,ShapeShifting,10,Biến Thân - Quy Biến Dị,PetHeader1_14,LuHeGui,39,,
11,ShapeShifting,11,Biến Thân - Quy Bảo Bảo,PetHeader1_14,HeSeGui,39,,
12,ShapeShifting,12,Biến Thân - Cẩu Tử Trưởng Thành,PetHeader1_24,TuHuangGou,39,,
13,ShapeShifting,13,Biến Thân - Cẩu Tử Biến Dị,PetHeader1_24,HuiSeGou,39,,
14,ShapeShifting,14,Biến Thân - Cẩu Tử Bảo Bảo,PetHeader1_24,TuHuangGou,39,,
15,ShapeShifting,15,Biến Thân - Nhím Trưởng Thành,PetHeader1_6,HeSeCiWei,39,,
16,ShapeShifting,16,Biến Thân - Nhím Biến Dị,PetHeader1_6,HeiSeCiWei,39,,
17,ShapeShifting,17,Biến Thân - Nhím Bảo Bảo,PetHeader1_6,HeSeCiWei,39,,
18,ShapeShifting,18,Biến Thân - Hầu Tử Trưởng Thành,PetHeader1_15,DanHuangHouZi,39,,
19,ShapeShifting,19,Biến Thân - Hầu Tử Biến Dị,PetHeader1_15,DanQingHouZi,39,,
20,ShapeShifting,20,Biến Thân - Hầu Tử Bảo Bảo,PetHeader1_15,DanHuangHouZi,39,,
21,ShapeShifting,21,Biến Thân - Tùng Thử Trưởng Thành,PetHeader1_12,HuiSeSongShu,39,,
22,ShapeShifting,22,Biến Thân - Tùng Thử Biến Dị,PetHeader1_12,DanLanSeSongShu,39,,
23,ShapeShifting,23,Biến Thân - Tùng Thử Biến Dị,PetHeader1_12,BaiSeHeiWeiSongShu,39,,
24,ShapeShifting,24,Biến Thân - Tùng Thử Bảo Bảo,PetHeader1_12,HuiSeSongShu,39,,
25,ShapeShifting,25,Biến Thân - Hoán Hùng Trưởng Thành,PetHeader1_5,DanHeWanXiong,39,,
26,ShapeShifting,26,Biến Thân - Hoán Hùng Biến Dị,PetHeader1_5,DanHuangWanXiong,39,,
27,ShapeShifting,27,Biến Thân - Hoán Hùng Biến Dị,PetHeader1_5,DanQingWanXiong,39,,
