RowIndex,Tag,ID,Name,Icon,Model,ScaleP,Text,ChildrenJSON
1501,ShapeShifting,1501,Biến Thân - Thái Thương Long Tử Biến Dị,PetHeader7_5,ZhenShou131112ZuanShivipMa8,39,,
1502,ShapeShifting,1502,Biến Thân - Thái Thương Long Tử Biến Dị,PetHeader7_5,ZhenShou131112ZuanShivipMa9,39,,
1503,ShapeShifting,1503,Biến Thân - Thái Thương Long Tử Biến Dị,PetHeader7_5,ZhenShou131112ZuanShivipMa5,39,,
1504,ShapeShifting,1504,Biến Thân - Bạo Tẩu Hùng Miêu Trưởng Thành,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao01,39,,
1505,ShapeShifting,1505,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao02,39,,
1506,ShapeShifting,1506,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao03,39,,
1507,ShapeShifting,1507,Biến Thân - Bạo Tẩu Hùng Miêu Bảo Bảo,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao01,39,,
1508,ShapeShifting,1508,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao05,39,,
1509,ShapeShifting,1509,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao04,39,,
1510,ShapeShifting,1510,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao06,39,,
1511,ShapeShifting,1511,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao07,39,,
1512,ShapeShifting,1512,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao08,39,,
1513,ShapeShifting,1513,Biến Thân - Bạo Tẩu Hùng Miêu Biến Dị,PetHeader7_6,ZhenShou131125XinNianHuoPaoXiongMao09,39,,
1514,ShapeShifting,1514,Biến Thân - Minh Âm Hoa Linh Trưởng Thành,PetHeader7_7,ZhenShou131031YinYouJingLing01,39,,
1515,ShapeShifting,1515,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing02,39,,
1516,ShapeShifting,1516,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing03,39,,
1517,ShapeShifting,1517,Biến Thân - Minh Âm Hoa Linh Bảo Bảo,PetHeader7_7,ZhenShou131031YinYouJingLing01,39,,
1518,ShapeShifting,1518,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing07,39,,
1519,ShapeShifting,1519,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing08,39,,
1520,ShapeShifting,1520,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing05,39,,
1521,ShapeShifting,1521,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing06,39,,
1522,ShapeShifting,1522,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing04,39,,
1523,ShapeShifting,1523,Biến Thân - Minh Âm Hoa Linh Biến Dị,PetHeader7_7,ZhenShou131031YinYouJingLing09,39,,
1524,ShapeShifting,1524,Biến Thân - Tiểu Dị Trưởng Thành,PetHeader7_9,HongDouEr140331,39,,
1525,ShapeShifting,1525,Biến Thân - Tiểu Dị Biến Dị,PetHeader7_9,HongDouErHeiYi140331,39,,
1526,ShapeShifting,1526,Biến Thân - Tiểu Dị Biến Dị,PetHeader7_9,HongDouErHuangYi140331,39,,
1527,ShapeShifting,1527,Biến Thân - Tiểu Dị Bảo Bảo,PetHeader7_9,HongDouEr140331,39,,
1528,ShapeShifting,1528,Biến Thân - Tiểu Mã Ca Trưởng Thành,PetHeader7_8,ZhenShou140208MaShangYou01,39,,
1529,ShapeShifting,1529,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou02,39,,
1530,ShapeShifting,1530,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou03,39,,
1531,ShapeShifting,1531,Biến Thân - Tiểu Mã Ca Bảo Bảo,PetHeader7_8,ZhenShou140208MaShangYou01,39,,
1532,ShapeShifting,1532,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou04,39,,
1533,ShapeShifting,1533,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou05,39,,
1534,ShapeShifting,1534,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou06,39,,
1535,ShapeShifting,1535,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou07,39,,
1536,ShapeShifting,1536,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou08,39,,
1537,ShapeShifting,1537,Biến Thân - Tiểu Mã Ca Biến Dị,PetHeader7_8,ZhenShou140208MaShangYou09,39,,
1538,ShapeShifting,1538,Biến Thân - Bách Chiến Kim Cang Trưởng Thành,PetHeader7_13,ZhenShou20140326JiQiRen01,39,,
1539,ShapeShifting,1539,Biến Thân - Bách Chiến Kim Cang Biến Dị,PetHeader7_13,ZhenShou20140326JiQiRen02,39,,
1540,ShapeShifting,1540,Biến Thân - Bách Chiến Kim Cang Biến Dị,PetHeader7_13,ZhenShou20140326JiQiRen03,39,,
