RowIndex,Tag,ID,Type,Name,Icon,EquipPoint,VisualID,BoundRule,SetID,SetAttributeLine,Level,FactionID,BasePrice,SellPrice,Durability,Identifiable,Star,BaseValueID,MinLine,MaxLine,MinIdentifiedRate,BuffID,DurationHour,ExtraHint,Description,Text,ChildrenJSON
13501,Equip,10441983,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,83,-1,2085,1668,216,true,1,83,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13502,Equip,10441984,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,84,-1,2135,1708,217,true,1,84,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13503,Equip,10441985,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,85,-1,2186,1748,219,true,1,85,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13504,Equip,10441986,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,86,-1,2237,1789,220,true,1,86,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13505,Equip,10441987,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,87,-1,2289,1831,221,true,1,87,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13506,Equip,10441988,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,88,-1,2342,1873,222,true,1,88,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13507,Equip,10441989,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,89,-1,2395,1916,224,true,1,89,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13508,Equip,10441990,11,Chưa dùng,Shoes4_8,4,39,2,-1,-1,90,-1,2449,1959,225,true,1,90,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""298""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""298""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13509,Equip,10441991,11,Chưa dùng,Shoes4_9,4,39,2,-1,-1,81,-1,1987,1589,214,true,1,81,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
13510,Equip,10441992,11,Chưa dùng,Shoes4_9,4,39,2,-1,-1,82,-1,2036,1628,215,true,1,82,4,4,1,-1,-1,,Chưa dùng,,"[{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_physdefbase"",""Value"":""266""}},{""Tag"":""BaseAttribute"",""Attributes"":{""Symbol"":""magic_magicdefbase"",""Value"":""266""}},{""Tag"":""Attribute"",""Attributes"":{""Symbol"":""magic_dodge"",""Rate"":""100""}}]"
